ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Тошко Йорданов Хаджитодоров, Михаил Боянов Генадиев, Владимир Николов Караджов, Катина Никос Анастасова, Георги Захаринин Попов, Александър Цветанов Гарибов, Павел Славчов Стоименов, Албина Алексеева Анева-Томова, Румяна Станоева Първанова, Владимир Николов Живков, Цвета Валентинова Рангелова, Кирил Атанасов Веселински, Андрей Иванов Цеков, Танка Младенова Попова, Даниела Станимирова Дашева, Иван Стоименов Гешев, Димитър Михайлов Ташев, Христо Петьов Колев, Николай Емилов Груев, Любомир Иванов Стойков, Росен Димитров Желязков, Йордан Стоянов Манасиев, Корнелия Петрова Нинова, Георги Панчев Куков, Красимир Дончев Каракачанов, Кирил Спасов Ваклинов, Делян Славчев Пеевски, Александър Димитров Дунчев, Владимир Йорданов Милков, Ангел Методиев Тасев, Пирин Асенов Несторов
Станислав Иванов Богдански, Стефан Радославов Цончев, Елена Иванова Сотирова, Румен Александров Младенов, Анелия Методиева Никова, Йордан Захариев Чипев, Славчо Стойчев Гургулеев, Гинка Милчева Григорова, Кристина Никодимова Мурджова, Николай Симеонов Иванов, Костадинка Стоянова Джагълова, Страхил Стефанов Дончев, Радослав Иванов Динев, Иван Недялкович Хаджиев, Димитър Христов Кьосев, Валери Бориславов Смиленов, Радослав Иванов Илиев, Георги Андонов Шавулев, Валентин Стойчев Текелов, Димитър Николов Диманов, Илиан Кирилов Георгиев, Александър Веселинов Новаков, Веселин Христов Христов, Юлиан Спасимиров Атанасов, Стоян Радков Божинов, Антон Йорданов Ников, Йордан Кирилов Цонев, Владимир Евгениев Милушев, Александър Кирилов Лазов, Росица Петрова Кавазова, Димка Василева Попстоянова
Иванка Василева Асенова, , Мария Иванова Радойкова, Виолета Иванова Кудева, Ангела Христова Гешева, , Елена Георгиева Гулева, Антони Александров Томанов, Моника Господинова Господинова, , Мустафа Мустафов Люманков, Десислава Светославова Стоянова, Димитрина Любомирова Хаджиева-Недина, , Мартин Руменов Томов, Адриана Георгиева Брънчева-Драганова, Мира Рашкова Атанасова, Ана Иванова Петрова, Пламен Славчев Петров, Малинка Иванова Йорданова, Костадин Томов Стойков, Мартин Серьожев Вътев, Младен Стоименов Тимчев, Ангел Димитров Дечев, Костадин Стоянов Миндов, Петър Живков Джельов, Ибраим Ибраимов Зайденов, Андрей Николаев Ковачев, Пиер Стоянов Божилов, Атанас Владимиров Йосифов, Спас Владимиров Спасов
Миглена Георгиева Думанова, , Живко Кирилов Иванов, Иван Благоев Кочев, Добрин Стефанов Балтов, , Стоян Георгиев Кадийски, Иван Кръстев Чолаков, Янко Атанасов Бахчеванов, , Теодора Огнянова Димитрова, Мирела Христова Темелкова, Ваня Христова Кромбоа, , Ленко Георгиев Панайотов, Радослав Лазаров Костадинов, Десислава Петкова Влахова, Магдалена Николаева Рачева-Иванова, , , Георги Иванов Георгиев, Елена Георгиева Манасиева, Радослав Георгиев Кирев, Александър Георгиев Василев, Георги Борисов Миталов, , Фатима Исмаил Йълдъс, Александър Николов Пулев, Златка Спасова Лазова, Георги Димитров Чипов, Георги Димитров Пармаков
Красимир Георгиев Ангелски, , Димитър Ангелов Пумпалов, , Борислав Иванов Борисов, , Стоян Андреев Цветков, Иван Герасимов Петрински, Ахмед Мустафа Чолак, , Методи Георгиев Спасов, Илиян Георгиев Атанасов, Сейди Елзеров Абдишев, , Светослав Николов Илиев, Тодор Стоянов Гюрев, , Аврам Иванов Парнарев, , , Никола Любенов Джингаров, Венцислав Венциславов Узунов, Гергана Димитрова Орманлиева, Велислава Минкова Георгиева-Флеминг, Цоня Димитрова Кръстева, , Ахмед Ахмедов Вранчев, Любомир Йорданов Попйорданов, Стоян Димитров Вретенаров, Евгени Илиев Митушев, Спас Христов Попов
Шериф Янузов Ходжов, , Димитър Спириев Симеонов, , , , Сава Линков Шерифов, Гергана Андонова Станоева, Свилен Николов Смиленов, , Илко Александров Гълъбов, Николай Димитров Янчев, Мария Иванова Тенчева, , , Елена Георгиева Смилкова, , Александър Момчилов Петков, , , Марио Николов Терзиев, Денис Стратиев Генев, Бистра Пламенова Низамска, Илия Георгиев Стойков, Михаил Лазаров Велев, , Ерик Юсуфов Фейзиев, Светослав Асенов Салкин, Димитър Бойков Бешев, Атанас Георгиев Гъцев, Виолета Йорданова Ерменкова
Мустафа Мехмедов Кьоров, , Александър Андонов Шамкалов, , , , Георги Иванов Новоселски, Борислав Христов Палестов, , , Гергана Крумова Николова, Радослав Милчев Илиев, Теди Росенов Николов, , , Иван Стоянов Майсторов, , Спасимира Димитрова Юручка, , , Костадин Иванов Загорчин, Мирослав Данков Христов, Абедин Ракипов Камбуров, , Светлана Николова Радулова, , Шабан Шабан Хаджиоли, , Сотир Серафимов Стоименов, , Христо Венецков Божков
Марио Василев Герински, , Снежана Христова Ласкова, , , , Стефан Николаев Гургушинов, Васил Петров Астинов, , , Марио Георгиев Костадинов, , Димитър Кирилов Парасков, , , Янко Атанасов Златев, , Денис Николаев Димитров, , , Елена Велкова Ставрова, Мартина Пламенова Шикова, Любомир Николаев Алексиев, , Снежана Георгиева Стоева, , Мустафа Муса Сирачки, , Николай Борисов Чановски, , Елен Иванова Янкова
Веселин Стефанов Балев, , Костадинка Малинова Трайкова, , , , Юлия Георгиева Коюнджийска, Георги Павлов Попов, , , Деян Росенов Стойков, , Николай Иванов Божков, , , Марияна Андреева Шехова-Канелова, , Ивайло Романов Иванов, , , Йосиф Йорданов Кочев, Стефан Маринов Парлапански, Лилко Ценов Айвазов, , Стойчо Иванов Рабаджиев, , Милена Линкова Бунцева, , , , 
Ангелина Крумова Попова, , Василена Костадинова Иванова, , , , Вера Веселинова Качулска, Петър Сашов Гайдарски, , , Вергиния Иванова Секулова, , Янко Митков Христов, , , , , Борис Любенов Джарков, , , Талип Исмаилов Чавдаров, Добромир Георгиев Славов, Тодор Илиев Крънджилски, , Лора Димитрова Пейчева, , Къдри Бакиев Инузов, , , , 
Петър Валериев Пандев, , Георги Стоилов Филипов, , , , Радослав Костадинов Радев, Вангел Димитров Арабаджиев, , , Иван Тодоров Самоковарев, , Олег Атанасов Сатиев, , , , , , , , Илия Филипов Сидеров, Томи Константинов Каракостов, Илиан Димитров Пангев, , Светослава Петрова Китанова, , Атидже Салих Манзурска, , , , 
