ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Андрей Иванов Чорбанов, Добромир Славейков Йорданов, Димитър Любомиров Петков, Георги Иванов Янкулов, Антоан Стоянов Кръстев, Любен Иванов Колев, Васил Крумов Божков, Борислав Владимиров Сертов, Стоян Викторов Барев, Александър Иванов Атанасов, Стоян Николов Таслаков, Антоанета Анатолиева Линкова, Ивайло Валентинов Шотев, Станимира Цанкова Златкова, Николай Йорданов Бозев, Десислава Йорданова Костадинова-Гушева, Филипа Иванова Каменова, Лидия Стойкова Стойкова-Чорбанова, Иван Иванов Георгиев, Цветанка Иванова Иванова-Стоянова, Екатерина Спасова Гечева-Захариева, Иван Георгиев Столинчев, Драгомир Велков Стойнев, Йордан Атанасов Мицикулев, Юлиан Кръстев Ангелов, Георги Илиев Йорданов, Искра Димитрова Михайлова-Копарова, Костадин Стефанов Деянов, Виктор Георгиев Атанасов, Дафин Гълъбов Цанков, Андриан Димитров Атанасов
Димитър Стоянов Гърдев, Пресиян Димитров Иванов, Димитрина Георгиева Александрова, Николай Делчев Георгиев, Кирил Костадинов Демерджиев, Красимир Сотиров Сотиров, Петър Георгиев Стефанов, Асен Володев Дечев, Иванка Георгиева Атанасова, Ганчо Костадинов Николов, Иван Русинов Маринов, Вилимир Юлианов Митрев, Василена Димитрова Загорска, Петър Генов Генов, Ангел Минков Минков, Георги Янков Янков, Димитър Жоров Сербезов, Стойно Проданов Чачов, Христо Николов Дунчев, , Валери Стефанов Вълков, Елиана Андонова Бонева, Петя Николаева Цанкова, Николай Костадинов Николов, Стефан Иванов Балабанов, Христо Начев Иванов, Небие Исмет Кабак, Веселин Георгиев Дургов, , Бистра Василева Василева, Стефан Димитров Попов
Тинко Василев Василев, , Малин Стоилов Комсийски, Димитър Николаев Димитров, Илка Тодорова Велчева, Красимир Кирилов Христов, Йордан Маринов Тодоров, Силвия Венцеславова Сиракова, Красимир Василев Кръстанов, , Мария Георгиева Джуркова-Пискюлева, Спас Стоянов Кънев, Петър Христов Цикалов, , Иван Миланов Шопов, Димитър Ангелов Велев, , Боян Любомиров Дуранкев, Светослава Иванова Горанова, , Дафинка Аспарухова Семерджиева, Димитър Николов Петков, Лиляна Димитрова Мърхова-Присадникова, Христо Василев Янков, Георги Димитров Коприщенов, , Осман Акчай Мурадов, Красимира Лука Тодорова, , Мари Василев Кемчев, Калин Димитров Владов
София Карменова Балинова, , Иван Петров Аврамов, Валентин Иванов Георгиев, Иван Константинов Киселов, Силвия Бойчева Златкова, Климент Стефанов Петков, Себастиян Благов Нонов, Мариан Ангелов Велев, , Иванка Николова Кърджийска, Николай Любомиров Павлов, Виктория Сергеева Вачева, , Виктор Денчев Кантарджиев, Петър Христов Петров, , Елена Георгиева Костова-Петкова, , , Стефан Неделчев Мирев, Янко Петков Василев, Жечка Ташева Ташева, Лариса Борисова Савова, Нина Георгиева Гьошева, , Айредин Мустафа Еюпов, , , Цветан Борисов Стоянов, Добринка Антимова Генчева-Атанасова
Атанас Петров Петров, , Пейо Пейов Петраков, Георги Димитров Майоров, Николай Тихомиров Петров, Зоя Иванова Евтимова, Иван Георгиев Казаков, Златомир Спасов Николов, , , Лазарин Панев Николчев, Стефан Стоянов Грънчаров, Ивайло Ангелов Иванов, , Иван Николов Иванов, Снежана Петрова Лазарова, , Мария Ангелова Киркова-Гечева, , , Борис Александров Владов, Марина Боянова Веселинова, Веска Димитрова Андонова, Вихрен Величков Илиев, Величко Ангелов Керин, , Цанко Бенчов Молов, , , , Благой Любомиров Босаков
Петьо Михайлов Новаков, , Марио Александров Кърджев, Иванка Борисова Илчева, Димитър Валентинов Борисов, , Костадин Георгиев Драганов, Николай Стоянов Шопов, , , Момчил Емилиянов Хаджиев, Ваньо Николов Найденов, Никола Цветанов Голомеев, , Георги Николаев Стойчев, Николина Василева Фиркова, , Стоян Георгиев Палийски, , , Борис Димитров Димитров, Ангел Атанасов Спасов, Васил Георгиев Аврамов, Мария Желева Иванова, Стефан Бориславов Владов, , Мустафа Фейзи Алиш, , , , Диана Минева Георгиева
Тодор Александров Велчев, , Ивайло Спасов Спасов, Петко Илчев Петков, , , Емил Димитров Лазаров, Петя Тодорова Тоткова, , , Цвятко Константинов Стефанов, , Александра Георгиева Станчева, , Борис Димитров Чинев, Борис Костадинов Фолев, , Катерина Петрова Стойчева, , , Николай Георгиев Ангелов, Илиян Симеонов Симеонов, Иван Петров Ряхов, Лазарина Рангелова Павлова, Татяна Борисова Попатанасова, , Мехмед Муса Мандраджиев, , , , Георги Красимиров Първанов
Иво Бориславов Любенов, , Гочо Александров Праков, , , , Стоян Венков Георгиев, Петър Василев Мечкаров, , , Атанас Иванов Атанасов, , Стоян Николов Самунев, , , Дейвид Дианов Вишев, , Иван Борисов Вучев, , , Малина Георгиева Консулова-Златева, Данаил Тодоров Данев, Димитър Йорданов Жилков, Илия Луков Немски, Иван Георгиев Гълев, , Асан Метин Садък, , , , Стоименка Трендафилова Владова
Яна Венциславова Йотова, , , , , , Исмаил Славейков Талипов, Петър Атанасов Георгиев, , , Надежда Димитрова Христоскова, , Надежда Петьова Михайлова, , , , , Нина Илиева Змийчарова-Димова, , , Йордан Кирилов Кожухаров, Георги Сотиров Георгиев, Гергана Атанасова Ганева, , Марияна Костадинова Стоянова, , Веселина Николаева Димитрова, , , , Тодор Куртев Цоков
Димитър Илиев Данчев, , , , , , Иво Иванов Лулчев, Антон Георгиев Манчев, , , Павел Борисов Александров, , Валери Йорданов Петракиев, , , , , Ангел Минков Сираков, , , Илиян Красимиров Траянов, , Златка Филипова Златанова, , Мильо Тодоров Милев, , Фатима Юсуф Дъбева, , , , Латинка Миткова Петкова
Илиян Георгиев Йовчев, , , , , , , , , , , , Христо Иванов Дурев, , , , , Николай Стоянчов Търлев, , , Гергана Димитрова Сеферинкина, , Петя Цокова Цокова, , Румен Иванов Хаджийски, , Самир Айдън Коджаали, , , , Спас Цветанов Шиков
