ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Станислав Тодоров Трифонов, Цветелина Венелинова Христова, Иван Пламенов Петков, Душко Ненков Душков, Златко Спасов Здравков, Лъчезар Аспарухов Аврамов, Павел Славчов Стоименов, Юлиян Милчев Ненчев, Чавдар Маркос Христанов, Илия Димитров Конов, Ивелин Първанов Първанов, Деян Петев Петков, Богдан Валериев Богданов, Мариета Проева Керчева, Веселка Венкова Венкова, Петър Стефанов Димитров, Маргарит Владимиров Мицев, Янко Любенов Янев, Цвета Петрова Филипова, Йордан Кирилов Крумов, Пламен Тачев Петров, Мартин Серьожев Вътев, Георги Страхилов Свиленски, Христо Симеонов Борисов, Красимир Дончев Каракачанов, Владимир Герчев Атанасов, Марио Киров Рангелов, Албена Симеонова Върбанова, Петър Илиянов Витев, Николай Миланов Николов, Пламен Георгиев Александров
Александър Атанасов Александров, Никола Димитров Петров, Ивана Невелинова Маринова, Магдалена Владимирова Трифонова, Стелиан Свиленов Караманов, Диан Ненов Гешев, Антон Петев Томов, Илия Николов Николов, Грета Петрова Димова, Николай Василев Костадинов, Кирил Тодоров Тодоров, Ивайло Петров Ценкулов, Свилен Петров Трифонов, Златка Иванова Георгиева, Юри Петков Йорданов, Латинка Николаева Дилова, Пламен Илиев Мирчев, Иван Дянков Пачев, Райна Веселинова Милева, , Валери Пламенов Лачовски, Пламен Иванов Топчиев, Стефан Иванов Бурджев, Десислава Иванова Николова, Венцислав Цветанов Грозев, , Радослав Петров Иванов, Росен Тодоров Цонев, Илиян Петков Витев, Мария Сотирова Пелайо Мендез, Пламен Борисов Йончев
Христинка Илийчева Иванова, Анелия Богомилова Сестримска, Мариян Евтимов Лазаров, Мариян Павлов Тодоров, Ивайло Калчев Калчев, Данаил Николов Вълов, Анатоли Бориславов Борисов, Поля Христова Коларова-Цветкова, Красимир Николов Кондов, , Николай Ивалинов Иванов, Тереза Николова Анчева, Виолета Георгиева Иеремиева, , Семьон Ценов Вълов, Дечко Лазаров Бонев, Валя Иванова Петрова, Деница Иванова Иванова, , , Тодор Пламенов Иванов, Йонка Красимирова Иванова, Антонио Владимиров Василев, Ирена Николаева Негинова, Николай Николов Маринов, , Васил Методиев Петков, Светослав Тодоров Тодоров, Пламен Цветанов Ганов, , Тотка Димитрова Конова
Федя Стефанов Анов, , Стефан Димитров Петков, Филип Георгиев Димитров, Ленко Бисеров Асенов, Елеонора Василева Велева, Радослав Юлиев Костадинов, Христо Димитров Киров, Калоян Багрянов Йорданов, , Тихомир Радославов Стойков, Момчил Федев Манолов, Драгомир Бориславов Рангелов, , Евгения Георгиева Николова, Лилия Цветанова Данчева, , Красимир Веселинов Иванов, , , Йоана Даниелова Дичкова, Анатоли Петров Антонов, Татяна Борисова Кюркчиева, Илия Цоков Илиев, Валери Здравков Босилков, , Айлян Гюнайдънов Пашала, Никола Янков Николов, , , Тодор Атанасов Тодоров
Гергана Красимирова Богданова, , Захари Янев Петков, Асен Максимов Асенов, Иво Драгомиров Дечев, Веселин Иванов Георгиев, Паоло Спасов Панчев, Нора Анчева Симеонова, Николай Атанасов Борисов, , Виктория Василева Мучанова, Александър Стефанов Станев, Ангел Данчев Йорданов, , Нели Маринова Кючукова-Лазарова, Стефан Михайлов Михайлов, , Огнян Божинов Янчев, , , Димитър Петев Тончев, Димитър Маринов Димитров, Руслан Георгиев Тасин, Калин Илчев Илиев, Аксиния Тодорова Ватковска, , Стефан Тошков Стефанов, , , , Ивайло Тодоров Ценов
Ралица Николова Рачева, , Андриана Данаилова Илиева, Малинка Димитрова Табакова, Силвия Данчева Калчева, Марин Кирилов Киров, Снежана Димитрова Белова, Бисер Иванов Варнаджиев, Ана Георгиева Топалова, , Нели Иванова Симеонова, Симеон Георгиев Илиевски, Людмил Георгиев Софрониев, , Йордан Весков Мишев, Генадий Петков Иванов, , Николай Стефанов Добрев, , , Рая Бисерова Драгоева, Николай Първанов Григоров, Светла Милчева Илиева, Деян Милков Петров, Борислав Пламенов Георгиев, , Юлиян Александров Йовков, , , , Стефан Димитров Цветков
Галина Миткова Дякова, , Християн Божидаров Петров, , Росица Младенова Караманова, , Мирослав Здравков Петков, Наталия Христова Петрова, Борислав Иванов Ботев, , Ивайло Мариянов Ивайлов, Николай Валентинов Пешев, Тодор Георгиев Еленков, , Владислав Динков Гюрецов, Николай Владимиров Лазаров, , Валентин Любомиров Пандинов, , , Ралица Мирославова Цветанова, Петко Георгиев Колев, Анжела Венциславова Вайкарова, Калоян Стоянов Костадинов, Антонио Валериев Иванджиков, , Валентин Петров Банчев, , , , Ивалина Петкова Стаменова
Симеон Димитров Пацов, , Камелия Георгиева Джанабетска, , Стефан Бойков Мавров, , Веселин Стефанов Радков, Любка Живкова Бумбарова, Митко Цветанов Гетов, , Ралица Петрова Мусакова-Гетева, Калин Богданов Даков, Антон Петров Димитров, , Николай Захариев Иванов, Георги Петков Маринов, , Веселин Николаев Радев, , , Виолина Атанасова Вълева-Лопез, Параскева Никифорова Желева, Толя Димитрова Първанова, Николай Костадинов Николов, Даниела Светославова Бакърджиева, , Емил Методиев Шишманов, , , , Никола Асенов Бенчев
Димитър Ангелов Ангелов, , Тихомир Будиславов Иванов, , Румяна Иванова Атанасова-Александров, , Константин Георгиев Пъшев, Красимир Петров Тодоров, Панайот Стефанов Първанов, , Богомил Георгиев Димитров, Мариета Георгиева Пешева, Константин Димитров Господинов, , Преслав Ивайлов Дянков, , , Мирослав Росенов Кунев, , , Ивайло Иванов Даков, Любомир Красимиров Цеков, Симеон Цонов Цонов, , Ивайло Иванов Христов, , Катерина Георгиева Миткинска, , , , Красимир Георгиев Кузманов
Красимир Георгиев Иванов, , Силвия Руменова Маринова, , , , , Николай Генов Колев, , , Ирина Петрова Ценкова, , Петя Валериева Николова, , Нина Георгиева Цветанова, , , Християн Мариов Ангелов, , , Тони Николаев Доров, , Румен Иванов Иванов, , Александър Стефанов Богданов, , Добромир Пламенов Маринов, , , , Стефчо Атанасов Стефанов
, , Христо Цветанов Цветанов, , , , , Красимир Димитров Тунев, , , Диан Иванов Янков, , Златко Илиев Урумов, , Владислав Йотов Диков, , , Момчил Петров Стоянов, , , Цветан Любчов Попов, , , , Дарин Георгиев Кинов, , Агнеса Драгомирова Алексиева, , , , 
