ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Станислав Светозаров Балабанов, Светослав Емилов Витков, Борислав Кръстев Инчев, Чавдар Демиров Борачев, Николай Георгиев Дренчев, Александър Трифонов Томов, Станю Николов Симеонов, Ваня Руменова Григорова, Иван Маркос Христанов, Георги Чавдаров Христов, Ангел Жеков Георгиев, Радостин Петев Василев, Асен Васков Василев, Атанас Георгиев Танев, Стефан Динчев Янев, Петър Христов Петров, Надежда Косева Йорданова-Рамдан, Валери Мирчев Жаблянов, Валентин Симеонов Симов, Николай Димитров Хаджигенов, Бойко Методиев Борисов, Илия Галинов Гюров, Иван Богомилов Петков, Николай Георгиев Марков, Ангел Чавдаров Джамбазки, Живко Петров Стоев, Танер Мехмед Али, Албена Симеонова Върбанова, Рада Семкова Марова, Десислава Йорданова Йонова, Иван Пенчев Пенчев
Танер Кадир Тюркоглу, Красимир Владимиров Куцаров, Пенка Иванова Деведжиева, Искра Благоева Павлова, Иво Георгиев Русчев, Стефан Георгиев Харизанов, Николай Гавраилов Чилингиров, Атанас Илиев Кръстев, Павел Атанасов Костадинов, , Емил Янков Янков, Тошо Йозов Бъмбин, Йордан Яворов Иванов, Христо Велинов Стоянов, Яни Панайотов Иванов, Мартин Даниелов Василев, Венелина Венкова Балтаджиева, Георги Костадинов Илчев, Павел Няголов Камбуров, Мария Василева Капон, Даниела Кирилова Дженева, Мирослав Иванов Иванов, Катя Стайкова Стоилова, Ивайло Валентинов Симеонов, Стефан Гришев Павлов, Антоанета Стефанова Джельова, Али Мустафа Байрам, Сребрина Цвяткова Цветкова, Живко Колев Кисьов, Вилина Димитрова Дишева, Марко Христев Петров
Ради Минчев Иванов, Йордан Иванов Атанасов, Борис Иванов Лозанов, Румен Александров Младенов, Станимир Аргиров Вълчев, Веселин Илиев Станев, Добромир Павлев Иванов, Детелин Весков Кънчев, Николай Емануилов Янков, , Иван Димитров Пенков, Красимир Димчев Дончев, Стою Теодоров Стоев, , Атанаска Ангелова Ангелова, Димитър Ангелов Велев, Михаил Костадинов Влахов, Владимир Петров Петров, Антон Людмилов Милчов, Асен Димитров Панайотов, Георги Валентинов Георгиев, Александър Адриянов Суев, Теодора Георгиева Николаева, Дарин Димитров Георгиев, Лилия Радкова Учкунова, Атанас Василев Василев, Рангел Щерев Атанасов, Владимир Иванов Илиев, Сийка Лазарова Лазарова, Саша Видева Видева, Максим Александров Тополов
Йордан Василев Ангелов, Соня Мирославова Илиева, Стоян Илиев Илиев, Калоян Будьони Аджичев, Атанас Георгиев Йончев, Стефан Иванов Методиев, Жанко Димитров Бояджиев, Добрин Стоянов Стоянов, Александър Георгиев Кошов, , Елена Георгиева Грозданова, Светослав Жоров Лавчиев, Манол Костадинов Пейков, , Веселина Емилова Златанска, Георги Янков Янков, Иван Ненков Нейчев, Станимир Стефанов Връхаров, , Зарко Крумов Матев, Деница Пламенова Николова, Георги Славчев Крънчев, Анастас Георгиев Ангелов, Димитър Пламенов Захариев, Васко Пламенов Вътев, Атанас Тодоров Гарфалски, Кямуран Ахмед Асан, Павел Павлов Антонов, Таня Христова Петрова, Невена Георгиева Георгиева, Александър Петров Трендафилов
Димитър Стефанов Станков, Стоян Сашов Кръстанов, Максим Тодоров Петков, Силвия Милчева Тошева, Йорданка Рангелова Рангелова, Ангел Илиев Чонев, Златко Димитров Павлов, Георги Стоянов Батакчиев, Петър Асенов Казаков, , Стойчо Димитров Босев, Красимир Благоев Манев, Николай Димитров Гюров, , Тодор Юриев Стоянов, Снежана Петрова Лазарова, Рафаел Йоан Левиев, Александър Андреев Андреев, , Мария Вескова Малчева, Валерия Тодорова Славова, Галин Недялков Петров, Теодор Андонов Христов, Димитър Иванов Тосев, Богослав Георгиев Костадинов, Славко Василев Дончев, Айри Фейми Мурад, Веселин Ангелов Паскалев, Валентина Валентинова Ганчева, , Валерий Благоев Бръмбаров
Ивайло Филипов Филипов, Теодора Иванова Георгиева, Стефан Пейчев Пеев, , Камелия Николаева Йотова, Антония Иванова Пенева, Недялка Пламенова Рангелова, Емил Кирилов Хаджиев, Ивайло Димитров Попов, , Господин Апостолов Апостолов, Петко Бончев Божков, Христо Христов Петров, , Георги Николов Стършанов, Дейвид Дианов Вишев, , Тома Делчев Дичев, , Елена Димитрова Чанкова, Красимир Бориславов Терзиев, Начко Обретенов Плочев, Филип Николов Бакалски, Зоя Рашкова Иванова, Иван Димитров Якимов, Георги Богоев Богоев, Октай Шабан Чалъшкан, Мая Христова Христозова, , , Методи Иванов Спасов
Любомир Василев Апостолов, Драгомир Александров Стоянов, Иван Емилов Маринов, , , Ивайло Атанасов Василев, Руска Иванова Киришева, Георги Борисов Топузов, Илияна Миткова Хъмова, , Симеон Валерий Петров, Димитър Рангелов Костов, Владимир Бонов Славенски, , Пламена Тодорова Плачкова, Люба Петрова Шопова, , Живко Тодоров Тодоров, , Славена Йорданова Килиджийска, Станислава Кирилова Лулчева, Петър Йозов Топалски, Стефан Николаев Георгиев, Вихрен Величков Илиев, Траян Димитров Узунов, Никола Петров Кайряков, Тунай Сюлейманов Хюсеинов, Димчо Желев Радев, , , Вълю Раев Илиев
Маргарита Димитрова Ляскова, , Евгени Коцев Костенаров, , , Катя Иванова Ангелова, Анастас Иванов Костов, Иван Гошев Стойков, Николай Петков Камбуров, , Димитър Живков Йорданов, Иван Калоферов Калоферов, Веселина Стефанова Александрова, , София Василева Илиева, Ива Любомирова Христова, , Борис Иванов Иванов, , Атанас Николов Гургов, Антон Георгиев Георгиев, Мариела Георгиева Топалска, Пламен Валериев Назаров, Христо Василев Янков, Павел Рангелов Милушев, , Роман Красимиров Асенов, Марио Иванов Шимбов, , , Даниела Георгиева Кузмова
Мирослава Димитрова Господинова, , Анелия Милчева Алексиева, , , Милчо Райков Минчев, Ивайло Дончев Денев, Иван Красимиров Попов, Теодора Петрова Кръстева, , Красим Симеонов Николов, Гергана Димитрова Милева, Станчо Стоянов Проданов, , Станислав Нонков Маринов, Янка Христова Атанасова, , Васил Стоилов Иванов, , Виолета Петрова Манолова, Десислава Красимирова Георгиева, Димитър Иванчев Мирков, Йовка Божидарова Златева, Христо Стефанов Стефанов, Петя Любенова Гогова, , Стойко Иванов Стойков, Иван Петров Андонов, , , Елена Павлова Петрова
Красимир Иванов Иванов, , Николай Георгиев Ганев, , , Венета Ангелова Василева, Фикрет Хюдаетов Шабанов, Мартин Леонидов Бурнарски, Свилен Николов Смиленов, , Чавдар Ангелов Земярски, Антония Тодорова Трулюс, Искра Огнянова Василева, , Цветан Златков Стефанов, Люба Илиева Шопова, , , , Любомир Спиридонов Раков, Данаил Георгиев Димитров, Ангел Ангелов Благов, Стилиян Николов Иванов, Емил Григоров Атанасов, Недилина Иванова Велкова, , Десислава Христова Христозова, Даниел Стефанов Начев, , , Здравка Георгиева Шишкова
Светослава Лъчезарова Стойкова, , Галина Петкова Карауланова, , , Йордан Маринов Узунов, Емил Тодоров Цветков, Иван Димитров Гюров, Анелия Георгиева Георгиева, , Кристиян Лъчезаров Герговски, Матей Стефанов Абаджиев, Светлан Алексеев Илиев, , Венета Асенова Чалъмова, Невена Василева Нешева, , , , Боян Иванов Михайлов, Веселина Петрова Ботева, Атанас Георгиев Богоев, Румен Йорданов Мотреников, Христо Димитров Нечев, Сияна Красимирова Кехайова, , Веселин Александров Василев, , , , Христо Димитров Шишков
Боян Илиев Чалъков, , Манол Иванов Чакъров, , , Светла Ангелова Колева, Ангел Иванов Иванов, Петър Василев Гидженов, Христо Георгиев Стоянов, , Георги Вутев Танев, Калоян Иванов Ангелов, Йоно Денев Чепилски, , Христо Атанасов Шегунов, Георги Димитров Чинин, , , , Христо Трифонов Христов, Йосиф Божидаров Танев, , Наум Китанов Китанов, Никола Пламенов Минков, Стефан Йорданов Послийски, , Николай Петров Петров, , , , Димитър Павлов Шишков
Александър Иванов Илиев, , Карамфила Иванова Шилева, , , Петка Иванова Димитрова, Кирил Георгиев Кошничарски, Румен Минков Минков, Юлиян Тодоров Шополов, , , Александър Георгиев Титев, Лилия Николова Йовчева, , , Лазар Кирилов Бакалов, , , , , Мария Ташкова Ненчева, , Николай Антонов Маринов, Борислав Руменов Чернев, Нина Георгиева Гьошева, , Яшар Смаил Асан, , , , Кръстьо Запрянов Цветков
Любомир Тодоров Югов, , Ивайло Спасов Спасов, , , , Николай Денков Гидиков, Николай Стефанов Андонов, , , , Трифон Любомиров Филипов, Величка Славчева Анадъмска, , , , , , , , Адриана Димитрова Генчева, , Николай Йорданов Аргиров, Димитър Иванов Тухлов, Владимир Иванов Кисьов, , Асан Енвер Мехмед, , , , Иванка Господинова Хаджиева
, , Костадин Иванов Аврамов, , , , Ина Раденкова Лазова, Марин Стефанов Ножаров, , , , Димитър Данчев Данев, Борислав Петров Матеев, , , , , , , , Станимир Иванов Чолаков, , Мариана Асенова Алексиева, , Славчо Стоев Атанасов, , Николай Руменов Рашков, , , , Гошо Петров Дамянов
, , Мариана Любенова Банева, , , , Атанас Йорданов Петков, , , , , Димка Маринова Господинова, Христо Йорданов Даскалов, , , , , , , , Христина Илиева Кашилска, , , , , , , , , , Петко Ангелов Петков
, , Роза Димитрова Хаджиева, , , , Боньо Дончев Кърджалийски, , , , , Ангел Трайков Божков, Евелин Николов Ангелов, , , , , , , , Живка Радева Йовчева, , , , , , , , , , Стоян Крумов Мирчев
, , Антон Събев Крушовалиев, , , , Стоян Христов Каменов, , , , , Мартин Илиев Александров, Петър Жечев Радевски, , , , , , , , Йордан Ангелов Алексиев, , , , , , , , , , Васил Петров Пачалиев
, , Цветонина Живкова Закова, , , , Николай Георгиев Чолаков, , , , , , Николай Георгиев Георгиев, , , , , , , , Петър Георгиев Троянов, , , , , , , , , , Иван Тотев Стоянов
, , , , , , Камен Божков Радованов, , , , , , Дилиян Илчев Манолов, , , , , , , , Борислава Иванова Вичева, , , , , , , , , , 
, , , , , , , , , , , , Чило Людмилов Попов, , , , , , , , Румяна Каменова Герджикова-Благоева, , , , , , , , , , 
, , , , , , , , , , , , Валентин Василев Иванов, , , , , , , , Красимира Петрова Чаушева, , , , , , , , , , 
, , , , , , , , , , , , Кирил Василев Ташев, , , , , , , , Даниела Асенова Митева, , , , , , , , , , 
, , , , , , , , , , , , Веселка Петрова Христамян, , , , , , , , Златка Георгиева Пеева, , , , , , , , , , 
