ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Станислав Светозаров Балабанов, Стоян Сашов Кръстанов, Борис Янков Ячев, Чавдар Демиров Борачев, Михаил Янков Мутафчиев, Стефан Иванов Методиев, Румен Василев Стоянов, Атанас Илиев Кръстев, Николай Костадинов Найденов, Петър Евтимов Евтимов, Кръстьо Стоянов Врачев, Красимир Димчев Дончев, Богдан Валериев Богданов, Атанас Георгиев Танев, Димитър Ангелов Чолаков, Стефан Христев Шипкалиев, Венелина Венкова Балтаджиева, Александър Андреев Андреев, Михаил Емилов Груев, Гънчо Койчев Гънчев, Цвета Вълчева Караянчева, Георги Христов Бонев, Веска Маринова Ненчева, Дарин Димитров Георгиев, Никола Георгиев Ликов, Атанас Василев Василев, Рамадан Байрам Аталай, Мая Христова Христозова, Рада Семкова Марова, Вилина Димитрова Дишева, Марко Христев Петров
Лъчезар Иванов Бакърджиев, Йордан Иванов Атанасов, Елена Филипова Филева, Искра Благоева Павлова, Марчело Стоянов Ризов, Благой Атанасов Савов, Николай Гавраилов Чилингиров, Марин Стефанов Ножаров, Николай Емануилов Янков, Теодор Лъчезаров Захариев, Димитър Валентинов Гюрев, Марин Георгиев Поповски, Катя Максимова Панева, Христо Велинов Стоянов, Яни Панайотов Иванов, Ива Любомирова Христова, Надежда Косева Йорданова-Рамдан, Мариян Тонев Дечев, Георги Петров Петров, Деница Нешева Чонова, Иван Йовков Червенков, Атанас Ангелов Петров, Ралица Костадинова Сатанска, Костадин Илиев Хаджийски, Светлозар Аргиров Янков, Славко Василев Дончев, Ердуан Сали Мехмед, Тома Георгиев Белев, , Саша Видева Видева, Димитър Павлов Шишков
Васил Атанасов Петлешков, Красимир Владимиров Куцаров, Костадин Николов Дамянов, Цвета Иванова Павлова, Васил Георгиев Адамов, Георги Стоянов Захариев, Фанка Божкова Владимирова, Георги Стоянов Батакчиев, Иванка Георгиева Атанасова, , Чавдар Ангелов Земярски, Иван Калоферов Калоферов, Христо Йорданов Даскалов, , Апостол Панков Тименов, Георги Димитров Чинин, Михаил Костадинов Влахов, Иван Цвятков Хаджийски, Евтим Георгиев Лозанов, Живка Ангелова Атанасова, Йордан Стоянов Кръстанов, Георги Славчев Крънчев, Мария Петкова Мустакова, Ивайло Валентинов Симеонов, Диана Запрянова Барабанова, Антоанета Стефанова Джельова, Джемил Ахмед Караали, Даниел Стефанов Начев, , , Кръстьо Запрянов Цветков
Иван Веселинов Генов, Драгомир Александров Стоянов, Александър Андонов Андонов, Камен Ненчев Илиев, Здравец Николов Хайтов, Димитър Методиев Петров, Златко Димитров Павлов, Борислав Владимиров Сертов, Мариан Ангелов Велев, , Румяна Иванова Иванова, Борислав Атанасов Георгиев, Андрей Димов Кръстев, , Атанас Борисов Къцов, Люба Петрова Шопова, Иван Ненков Нейчев, Христина Александрова Жукова, , Владимир Николов Чанков, Младен Николов Шишков, Йордан Атанасов Петров, Иван Йосифов Яков, Димитър Пламенов Захариев, Венцислав Георгиев Михалакев, Георги Богоев Богоев, Денис Себахтин Христова, Иван Василев Бояджиев, , , Иванка Господинова Хаджиева
Радослав Ангелов Ангелов, Теодора Иванова Георгиева, Надежда Асенова Гърбева, Силвия Милчева Тошева, Славка Богданова Цакова, Милчо Райков Минчев, Недялка Пламенова Рангелова, Иван Гошев Стойков, Николай Петков Камбуров, , Георги Янков Самаров, Марчело Иванов Вълков, Антония Тодорова Добрева, , Мария Димитрова Колева, Янка Христова Атанасова, Рафаел Йоан Левиев, Лидия Василева Данчева, , Красимир Георгиев Димитров, Доньо Тодоров Тодоров, Галин Недялков Петров, Запрян Трифонов Христев, Христо Стефанов Стефанов, Даниела Тодорова Пирянкова, Никола Петров Кайряков, Сезгин Ариф Мехмед, Стоилко Николов Апостолов, , , Гошо Петров Дамянов
Мария Иванова Минчева, , Евгени Коцев Костенаров, Лозан Благов Пенов, Стоян Красимиров Огнянов, Петка Иванова Димитрова, Николай Денков Гидиков, Емил Кирилов Хаджиев, Александър Георгиев Кошов, , Ангелина Тодорова Русинова, Тодор Руменов Алексиев, Георги Иванов Гюлев, , Христо Христов Боричев, Милена Стефанова Шипкалиева, , Георги Костадинов Илчев, , Зарко Крумов Матев, Пламен Димитров Спасов, Орлин Иванов Пандарев, Симеон Рангелов Иванов, Димитър Иванов Тосев, Пламен Тодоров Кабаков, Живко Петров Стоев, Селим Айнур Емин, Христо Трайков Граматиков, , , Петко Ангелов Петков
Костадин Петров Кеков, , Галина Петкова Карауланова, Иван Благоев Кочев, Димитър Йорданов Касъмов, Ивайло Атанасов Василев, Ангел Иванов Иванов, Мартин Леонидов Бурнарски, Анелия Георгиева Георгиева, , Владимир Христов Топалов, Веселина Стефанова Ангелова, Кристина Трифонова Влашка, , Генка Стефанова Дребчева, Люба Илиева Шопова, , Николай Шанков Бонев, , Мария Вескова Малчева, Александър Бисеров Иванов, Йохан Николаев Киров, Тодор Рашков Личев, Димитър Иванов Тухлов, Радослав Иванов Угренов, , Сюзан Орхан Моллаюсеин, Мария Иванова Кръстанова, , , Иван Тотев Стоянов
Владимир Иванов Недялков, , Андон Боянов Андонов, , , Златка Вълкова Иванова, Фикрет Хюдаетов Шабанов, Румен Минков Минков, Рангел Тодоров Николов, , Маргарита Димова Димова, Светослав Жоров Лавчиев, Константин Петков Смиленов, , Недко Стоилов Стоянов, Лазар Кирилов Бакалов, , Найден Павлов Павлов, , Асен Димитров Панайотов, Весела Иванова Тошкова, Марина Боянова Веселинова, Алекс Цеков Гигов, Христо Димитров Нечев, Димитър Юриев Димитров, , Ахмад Луай Мохамед Рифат Ал-Юсеф, Даниел Иванов Ангелов, , , Валерий Благоев Бръмбаров
Георги Костадинов Червенков, , Иван Добрев Шишков, , , Стефан Георгиев Харизанов, Боньо Дончев Кърджалийски, Георги Тодоров Начев, Теодора Петрова Кръстева, , Стойчо Димитров Босев, Димитър Данчев Данев, Павел Милков Бодушки, , София Василева Илиева, Невена Василева Нешева, , Христо Тодоров Кисов, , Атанас Николов Гургов, Живко Иванов Здравков, Кирил Костадинов Чинов, Илиян Стоев Марков, Ема Делчева Карачоджукова, Петя Любенова Гогова, , Стелиян Пламенов Шалски, Екатерина Любомирова Великова, , , Методи Иванов Спасов
Христин Димитров Димитров, , Пенка Иванова Деведжиева, , , Любомир Иванов Славков, Стоян Христов Каменов, Огнян Петров Найденов, Найден Славов Стайков, , Димитър Емилов Махнев, Иван Василев Трифонов, Георги Борисов Качев, , Димитър Александров Ковачев, , , Иван Димов Зънзов, , Виолета Петрова Манолова, Цветелина Костадинова Дурданова, Живка Стойчева Стойчева, Никола Петков Иванов, Никола Пламенов Минков, Димитър Иванов Трунгов, , Рангел Христов Божков, , , , Стоян Крумов Мирчев
Росина Тодорова Дойчевска, , Евгений Аргиров Караиванов, , , Лъчезар Димитров Димитров, Анастас Иванов Костов, Иван Димитров Гюров, Петър Асенов Казаков, , Иванка Славчева Танчевска, Георги Петров Коловски, Деница Иванова Георгиева, , Димитър Илиев Илиев, , , , , Любомир Спиридонов Раков, Иван Николов Петков, Анелия Христова Христова-Кирилова, , Илия Луков Немски, Стоянка Тодорова Николова, , Ердем Ерол Читали, , , , Васил Петров Пачалиев
