ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Драгомир Стефанов Петров, Михаил Ростиславов Русинов, Мария Маринова Стоянова, Тодор Трифонов Койнов, Мирослав Асенов Стоянов, Лъчезар Аспарухов Аврамов, Валентин Георгиев Донков, Никола Николов Вапцаров, Иван Косев Манев, Константин Василев Велев, Златан Стоянов Златанов, Светлин Костов Стоянов, Мартин Димитров Димитров, Венцислав Атанасов Ангелов, Даниела Тодорова Везиева, Ани Димитрова Иванова, Любомир Николов Христов, Валери Йорданов Иванов, Людмила Николова Велинова, Зорница Димитрова Дикова-Ранева, Бедрос Левон Пехливанян, Мартин Петров Николов, Иван Валентинов Иванов, Иван Петров Петров, Иво Колев Пазарджиев, Георги Тодоров Тодоров, Ализан Нихат Яхова, Михаил Руменов Михов, Татяна Йорданова Лисичкова, Веселин Стефанов Василев, Иво Стоянов Иванов
Анатоли Стефанов Станев, Веселин Асенов Белоконски, Йосиф Трифонов Новаков, Георги Колев Георгиев, Милко Георгиев Димитров, Марко Иванов Иванов, Пенчо Иванов Бахчеванов, Йордан Йорданов Топалов, Маргарита Стоянова Шойлекова, Александър Борисов Димитров, Димитър Пламенов Пашев, Венелин Йорданов Мицов, Рена Енчева Стефанова, Николай Йорданов Даскалов, Боян Анастасов Стоянов, Емил Димитров Митев, Йоанна Радославова Колева, Явор Веселинов Янчев, , , Георги Николаев Кръстев, Любен Иванов Бубев, Ивалинка Тодорова Цанкова, Валентин Недялков Кръстев, Георги Великов Георгиев, Мирослав Николаев Станчев, Айдоан Апти Джелил, Ростислав Юриев Кандиларов, Иван Пламенов Иванов, Иво Димитров Иванов, Дилян Иванов Данев
Татяна Агоп Нахабедян-Минчева, Ангел Йорданов Ангелов, Бисер Ганчев Николов, Стилиян Мирков Станев, Тереза Ивова Христова, Горан Георгиев Колев, Милен Руменов Димитров, Стелиян Богданов Стефанов, Галин Радков Димитров, Стефан Симеонов Тошев, Милен Иванов Боев, Валентин Иванов Георгиев, Иван Белчев Белчев, Мариета Проева Керчева, Иван Росенов Величков, Мирена Николова Николова, Юлия Николова Вълчева-Трифонова, Милена Петрова Карачорова, , , Николай Иванов Братованов, Николай Първанов Григоров, Елисавета Донева Досева, Анна Симеонова Лечева, Борислав Николаев Минев, Иван Михайлов Дончовски, Нермин Метинова Кязимова, Сашо Николов Попов, , Любомир Филипов Абрашев, Иван Драгомиров Михов
Николай Василев Чанев, , Димитър Илиев Димитров, Гинка Великова Донева-Великова, Цветелин Петров Петров, Костадин Иванов Аврамов, Аксения Рашкова Антонова, Ваня Николаева Петрова, Дилян Добринов Добрев, , Мариян Йорданов Димитров, Евгени Ангелов Иванов, Калин Ивайлов Иванов, Юлиян Мишев Ангелов, Калина Тонева Тонева, Цветанка Костадинова Бакалова-Чобанова, Константин Неделков Георгиев, Йовчо Георгиев Смилов, , , Богдан Стефанов Донев, Захари Ставрев Тасков, Емил Кирилов Георгиев, Нели Александрова Бянова, Николай Цветомиров Петров, , Илвенур Ибрахимов Махмудов, Станислав Иванов Стефанов, , Калин Валентинов Върбанов, Милена Цветкова Христова
Ивелин Красимиров Машков, , Димитър Димитров Кюркчиев, , Емил Асенов Абаджиев, Георги Цвятков Методиев, Симона Росенова Василева, Стефан Анков Бояджиев, Миглена Добринова Добрева, , Костадин Петков Георгиев, Ирена Стойкова Димитрова, Данаил Борисов Ковачев, Божидар Атанасов Христов, Росен Людмилов Солаков, Стефан Иванов Велков, , Антоанета Стоянова Йонкова, , , Красимир Йорданов Костадинов, Румен Стоименов Ночев, Нора Десиславова Стоянова, Васил Петров Василев, Йоана Живкова Емануилова, , Сезер Юсеин Сабах, Пенчо Георгиев Пандъков, , Трифон Йорданов Трифонов, Илиян Димитров Игнатов
Стойчо Валентинов Минков, , , , Валентин Живков Стоянов, Мартин Николов Иванов, Митко Петров Атанасов, Джем Бехат Али, Вихрен Йорданов Иванов, , Ивайло Стоянов Казанов, Илиян Христов Христов, Искрен Цветанов Иванов, , Александър Георгиев Дончев, , , Милко Борисов Костадинов, , , Звезделина Стойчева Минкова, Даниел Койчев Стамов, Микаел Врамшабух Чакълджиян, Николай Тодоров Гаджев, Асен Иванов Даскалов, , Айлян Раифова Карамехмедова, , , , Юлиан Ангелов Шопов
Илиян Димитров Илиев, , , , Александър Александров Шаханов, Себатин Нехат Хюсмен, Юлия Николова Григорова, Ева Тихомирова Кънчева, , , Христо Кирилов Попов, Ивелин Севдалинов Костадинов, Антони Димов Иванов, , Силвия Милчева Маринова, , , Мариан Иванов Димитров, , , Мирослав Йорданов Залев, Радко Георгиев Радков, Атанас Александров Пеев, Екатерина Кирилова Георгиева, Пресиян Петров Костадинов, , Емран Ерханов Кямилов, , , , Тодор Трифонов Чубуров
Мартин Илиянов Илиев, , , , Милен Радев Енев, Нихат Себатин Нехат, , Стилияна Стилиянова Маринова, , , Тодор Петков Савов, Даниел Милчев Добрев, Христо Цвятков Лютаков, , Венцислав Йорданов Балтаджиев, , , Ренета Стефанова Мицова, , , Кристиян Георгиев Иванов, Атанас Георгиев Богоев, Диана Иванова Ласонина, Виктор Детелинов Гицов, Луиза Красимирова Попова, , Гюнайдън Расимов Кязимов, , , , Стефан Атанасов Бабачев
Цанислав Маринов Симеонов, , , , Александър Йорданов Младенов, Георги Петков Костов, , Димитър Йосифов Йосифов, , , Стефан Драгомиров Динов, , Анета Емилова Ангелова, , Иван Николаев Колев, , , Димчо Василев Киряков, , , Сема Салиева Яшарова, , Добрин Райчев Райчев, Милко Савов Милков, Владо Владимиров Владов, , Есра Ремзи Белбер, , , , Дарина Петрова Занева
Илиян Илиев Игнатов, , , , Радослав Георгиев Славов, , , Мирослав Светославов Енчев, , , Пламен Иванов Петров, , Цветелин Диянов Димов, , Георги Николаев Димитров, , , Боян Величков Божинов, , , Евгени Игнатов Игнатов, , Елиан Димитров Пантелеев, Цветомир Сашев Гюров, Веселина Начкова Накова, , Елена Ганчева Христова, , , , Камен Николов Колев
Явор Радев Радев, , , , Мариян Васков Ценов, , , Христина Емилова Тодорова, , , Виолета Орлинова Красимирова, , Росен Николаев Симеонов, , Симона Бисерова Стоянова, , , Преслава Димитрова Макаер, , , Галя Миткова Додева, , Константин Енчев Костадинов, , Деян Ангелов Стайков, , Ислям Зекериев Панджаров, , , , Галина Петкова Йорданова
