ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Тошко Йорданов Хаджитодоров, Веселин Асенов Белоконски, Наско Христов Рафаилов, Светозар Стоянов Съев, Диян Галинов Асенов, Сергей Петков Инджов, Деян Димитров Господинов, Димитър Симеонов Костадинов, Илия Костадинов Костадинов, Александър Иванов Атанасов, Костадин Тодоров Костадинов, Николай Стефанов Радулов, Даниел Максим Лорер, Дарина Недева Тодорова, Диан Иванчев Драганов, Младен Йорданов Станев, Бояна Миленова Йорданова, Иван Димов Иванов, Димитър Генчев Димитров, Арман Агоп Бабикян, Даниел Павлов Митов, Наум Асенов Наумов, Борислав Гуцанов Гуцанов, Юлиана Младенова Матеева, Андрей Петров Слабаков, Иван Димитров Казаков, Филиз Хакъева Хюсменова, Илиян Иванов Илиев, Андрей Александрович Ваховски, Деян Сашев Александров, Николай Илиев Петков
Драгомир Стефанов Петров, Александър Христов Демирев, Бистра Константинова Василева, Румен Милчев Сакеларов, Петър Иванов Дулев, Елена Атанасова Димитрова, Преслава Янева Георгиева-Дамянова, Тодор Неделчев Тодоров, Стилиян Руменов Станчев, Красен Веселинов Радионов, Коста Георгиев Стоянов, Господин Илиянов Йовчев, Ивайло Христов Митковски, Радка Маринова Душева, Георги Димитров Андреев, Христо Янков Даскалов, Атанас Иванов Дойчев, Светлозар Стоянов Златев, Даниела Рачева Тоскова, Лъчезар Александров Алексиев, Красен Кирилов Кралев, Боян Стефанов Жинов, Павел Енев Раличков, Красимира Петкова Нинова-Катинчарова, Петър Димитров Петров, Златинка Костадинова Иванова, Месут Ердинч Рушид, Асен Владимиров Иванов, Радостина Пенчева Минева, Георги Димитров Чипов, Генко Господинов Тенев
Ивайло Симеонов Костадинов, Светозар Стефанов Стефанов, Снежина Пламенова Желязкова, Любена Миткова Начева-Григорова, Ненка Маринова Стойчева, Красимир Тодоров Куртев, Иван Росенов Антонов, Иво Николов Стамболийски, Недко Павлов Колев, , Светослав Тодоров Тодоров, Ясен Ангелов Ангелов, Антон Йорданов Тонев, Любен Иванов Станоев, Радостин Димитров Димитров, Димо Димов Белчев, Марица Арменак Тепеликян, Георги Недков Кючуков, Ясена Дианова Александрова, Цено Костадинов Иванов, Бранимир Николаев Балачев, Христо Огнянов Христов, Десислав Петров Тасков, Драгослав Йорданов Янев, Венцислав Сивелинов Сивов, Аделина Георгиева Желева, Хюсни Осман Адем, Миросвета Енчева Петрова, , Антон Петров Петров, Диана Любомирова Белинова
Цветелина Димитрова Атанасова, Николай Колев Диков, Борислав Христов Борисов, Георги Иванов Георгиев, Анна Юри Меликсетян, Веселин Костадинов Димитров, Андрей Стоянов Паунов, Иван Аргиров Янакиев, Стоян Гачев Николайчев, , Михаела Красимирова Берова-Зекова, Ивайло Миленов Желев, Стела Димитрова Николова, Димитричка Георгиева Мирчева, Десислава Цветомирова Димитрова-Аргирова, Ангел Диянов Димитров, Пламен Дончев Дончев, Мария Тодорова Тодорова, Николай Георгиев Шиков, Радослав Димитров Димитров, Кристиан Божидаров Ганчев, Станислав Любомиров Чотуков, Филчо Кръстев Филев, Димитър Радев Димитров, Дарина Цветанова Цонева, Васил Петков Славчев, Тургут Исмет Мехмед, Свилен Йорданов Стойчев, , Александър Симеонов Симеонов, Владимир Любенов Стойнев
Юлиян Георгиев Минчев, Симеон Георгиев Златарев, Юлиан Вълканов Чемширов, Ася Иванова Иванова, Лазар Анатолиев Лазаров, Пламен Стоянов Паскалев, Димитър Светославов Тодоров, Огнян Станакиев Николов, Огнян Иванов Киров, , Полина Николова Ставрева-Костадинова, Дамян Иванов Раднев, Любиша Блажевски, Здравко Симеонов Симеонов, Милен Иванов Чернев, Ивелина Стефанова Йорданова, Веселин Славчев Казаков, Цонко Георгиев Цонев, Радостина Георгиева Стоянова, , Павел Алексеев Христов, Гергана Димитрова Попова, Благовест Георгиев Георгиев, Красен Тонев Попов, Николай Йовчев Николаев, Николай Валериев Николов, Айше Мехмед Кадир, Илиана Николова Балабанова, , , Ваня Страхилова Попова
Любка Живкова Петрова, Искра Ангелова Димитрова, Георги Александров Александров, Йордан Христов Колев, Росен Йорданов Димитров, , Оксана Иванова Желяпова, Силвия Мариянова Димитрова, Цветан Николов Вълчев, , Сергей Петков Христов, Никола Валериев Тодоров, Филип Валентинов Спасов, , Красимир Методиев Смилков, , Румен Владимиров Русев, Драган Койчев Димов, Красимир Колев Динев, , Милена Славова Димова, Кирил Костадинов Чинов, Иван Борисов Великов, Любомир Петров Бабев, Красимир Кирилов Кондов, Георги Иванов Димов, Светлана Вълчева Табакова, Йордан Веселинов Начев, , , Иван Милков Тонков
Светослав Николов Иванов, Валери Йорданов Ангелов, Нина Стоянова Дякова, Герчо Илиев Цачев, Велислав Николаев Кенаров, , Анна Христова Атанасова, Димитър Андонов Чавеев, Радостин Илиянов Йорданов, , Николай Ненов Ненов, Валентина Павлова Павлова, Джихан Юсуф Акиф, , Атанас Чернев Атанасов, , Румяна Петкова Дончева, Юлия Тотева Цанкова, Анна Георгиева Кирилова, , Медиха Енвер Мехмед-Хамза, Здравко Петков Пенев, Мирослав Сотиров Коларов, Анатоли Мирославов Иванов, Емил Борисов Минчев, , Сали Сунай Лютфи, Емилия Боянова Балчева, , , Надежда Костадинова Парушева
Моника Станиславова Петрова, Анелия Богомилова Сестримска, Валентин Асенов Давидов, , Румянка Христова Димитрова, , Ростислав Иванов Рачев, Добринка Ангелова Иванова, Мария Красимирова Неделкова, , Георги Христов Геров, Борислава Георгиева Борисова, Мариела Пламенова Иванова, , Мартин Красимиров Кучев, , Цветанка Веселинова Орешкова, Валерий Василев Георгиев, Пламен Ангелов Ангелов, , Евгени Георгиев Дянков, Александър Младенов Михайлов, Дияна Валентинова Карамфилова, Антон Стоянов Георгиев, Николай Орлинов Роев, , Зюляй Сезгин Исмаил, Тодор Тонев Тонев, , , Илия Димитров Въчев
Румен Георгиев Стоянов, , Светлозар Светославов Граматиков, , , , Николай Александров Христов, Десислава Илкова Пенкова, Благовест Чанев Белев, , Велин Стоянов Сербезов, Георги Михайлов Делийски, Дора Костова Димитрова, , Соня Радославова Пенчева, , Тихомир Петров Петров, Антон Светозаров Диков, Борислав Вълев Божинов, , Мария Златкова Димитрова, Младен Сашков Михайлов, Милен Банков Гочев, Ралица Николаева Николова, Йордан Райков Йорданов, , Юсмен Шакир Юсмен, , , , Ивайло Тодоров Георгиев
Стойко Георгиев Георгиев, , Иван Недков Иванов, , , , Георги Велянов Джамбазов, Стоян Василев Ангелов, , , Виргиния Петкова Нешева, Димитър Радославов Добрев, Надежда Вълчева Илиева, , Михаил Огнянов Панайотов, , Ивелина Щерева Георгиева, Иво Станкеев Иванов, Калоян Пламенов Георгиев, , Руслан Здравков Тошев, Ангел Ангелов Благов, Валентин Стоянов Вълчев, Милена Цветанова Лекова, Ангел Добрев Радев, , Адиле Сабриева Кямил, , , , Стоян Костадинов Балков
Ивелин Иванов Димитров, , Димитър Йорданов Митев, , , , Моника Маринова Раковска, Мария Драгомирова Драганова, , , Галин Стоянов Иванов, , Дарко Янакиев Георгиев, , Драгомир Емилов Младенов, , , Миглена Кирова Харизанова, , , Дора Стефанова Атанасова, Ивайло Пламенов Христов, Йордан Стоянов Марков, Татяна Миткова Мечкарова, Красимир Ганчев Николов, , Нурай Ахмед Басри, , , , Йордан Димитров Манавски
