ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Иван Стойнов Кючуков, Николай Златев Мушников, Димитър Петров Сяров, Пламен Панайотов Пасков, Живко Михов Михов, Веселин Иванов Георгиев, Кольо Петков Парамов, Минчо Росенов Афузов, Десислава Стоянова Тенева, Георги Чавдаров Христов, Климент Пламенов Шопов, Зафир Пенчев Гочев, Татяна Славова Султанова-Сивева, Димитър Александров Александров, Вълко Велков Вълков, Елена Стефанова Попова, Боян Пламенов Цветков, Пеньо Христов Пенев, Николай Иванов Гарвански, Пламен Петров Петров, Десислава Жекова Танева, Анелия Христова Христова-Кирилова, Деян Цанков Дечев, Росен Тодоров Петров, Мария Димитрова Балъкчиева, Евгений Вълев Тенев, Хюсеин Хасан Хафъзов, Мартин Михайлов Заимов, Димитър Желев Иванов, Арлин Григоров Антонов, Владимир Цеков Христов
Пламен Николаев Михайлов, Маринела Боянова Маргаритова, Илчо Коев Боев, Евгения Николаева Колева, Донка Недялкова Маринова, Христо Николов Мавродиев, Ганка Иванова Кръстева-Василева, Стефан Пасков Стефанов, Зойко Никодимов Миленков, Веселин Иванов Миков, Динко Начев Ганчев, Николай Живков Петров, Маринчо Христов Христов, Иван Александров Иванов, Димо Иванов Драгиев, Красимир Костадинов Алексиев, Виолета Иванова Казакова-Георгиев, Дилян Михайлов Бомбалов, Цветомир Димитров Начев, Мариян Илиев Недев, Мария Щерева Белова, Ивайло Михайлов Иванов, Събина Василева Петканска-Вълева, Добромир Йорданов Сотиров, Милен Тенев Иванов, , Хюсеин Исмаилов Садуллов, Георги Николаев Кочев, Николина Димитрова Гандова, Светла Михайлова Милушева, Дамян Атанасов Начев
Ивайло Диянов Николов, , Стефан Пейчев Пеев, Стоян Стефанов Великов, Димитър Йорданов Касъмов, Румен Дарев Пенков, Яна Петрова Христова, Антоний Николаев Андонов, Данка Георгиева Рангелова, , Неделчо Андонов Великов, Димитър Славов Славов, Христо Стойчев Иванов, , Кремена Александрова Иванова, Любомир Малинов Васев, Николай Георгиев Вълчев, Елена Иванова Ножарова-Атанасова, , Юрий Велчев Стоянов, Ивайло Иванов Енев, Георги Христов Бонев, Румен Христов Христов, Радко Иванчев Радев, Ралица Димитрова Николова, , Пламен Рашков Маринов, , Ваня Любомирова Панайотова, , Васил Йорданов Ангелов
Славчо Колев Йовчев, , Мирослава Петкова Митева-Тенева, Тодор Георгиев Тодоров, Стоян Красимиров Огнянов, Марин Кирилов Киров, Дияна Димитрова Дечева-Георгиева, Светла Атанасова Тенева, , , Димитър Лалев Ковачев, Илия Минчев Минчев, Мартин Златков Маринов, , Велина Вълкова Велкова, Петя Стоянова Петкова, Таня Драганова Златкова, Борис Георгиев Гиндев, , Ваня Стойкова Иванова, Евгений Балев Герганов, Манол Викторов Димитров, Соня Тенева Келеведжиева, Стоян Иванов Тодоров, Венцислав Томчев Стефанов, , Митьо Стоянов Митев, , Божидар Антонов Катевски, , Василка Димитрова Петрова
Минчо Георгиев Егов, , Димитринка Петкова Петкова, Янко Илиев Тенев, Митко Пенев Танев, Димитър Миланов Петров, Георги Пеев Сотиров, Павлин Петров Павлов, , , Кирил Пенев Кирилов, Станимир Станчев Димитров, Димитър Здравков Чорбаджиев, , Димитрина Иванова Русчева, Андрея Панайотов Андреев, , Георги Стефанов Георгиев, , Иван Савов Алфьоров, Ибрям Алиев Мустафов, Захари Ставрев Тасков, Йордан Петров Крълев, Милен Георгиев Неделчев, Тоня Йорданова Йорданова, , Владимир Николов Мартинов, , , , Васил Христов Узунов
Димитър Людвик Сахакян, , Емил Ангелов Димитров, Георги Иванов Костов, Татяна Александрова Календерова, , Магдалена Николаева Георгиева, Филип Ангелов Маринов, , , Даниел Георгиев Петков, , Мариана Николова Минишка-Марчева, , Стела Петрова Маринова, Виолета Георгиева Димитрова, , , , , Христо Борисов Борисов, Пламен Светославов Пенчев, Стоян Димов Димов, , Иван Андонов Иванов, , Валентин Кръстев Георгиев, , , , Петър Тодоров Чолаков
Божидара Стоянова Суванджиева, , Мая Димитрова Миланова, , , , Марин Господинов Узунов, Кънчо Петров Илиев, , , Росен Стоянов Ригов, , Живко Иванов Петков, , Мария Антонова Хаджиева, Станимир Иванов Господинов, , , , , Анелия Стоянова Стоянова, , Детелина Йорданова Симеонова, , Момка Колева Михайлова, , Елиф Якубова Идризова, , , , Митко Алексиев Митев
Зина Кирчева Симеонова, , Илия Тенев Тодоров, , , , , Любомир Владимиров Кючуков, , , Стилиян Атанасов Големецов, , Даниел Петров Петров, , Стефка Енчева Кондева, Петя Андреева Андреева-Берова, , , , , Велмира Веселинова Вълева, , Мартин Иванов Благоев, , Янко Николов Николов, , Мустафа Юсеинов Мустафов, , , , Димитър Славов Димитров
Христо Красимиров Костадинов, , Асен Асенов Лолов, , , , , Ивайло Христов Христов, , , Динко Иванов Динев, , Диян Колев Колев, , Николай Димитров Манчев, Иван Йорданов Кръстев, , , , , Василена Антониева Костадинова, , Венелина Добромирова Иванова, , Георги Иванов Георгиев, , , , , , 
Захари Михайлов Захариев, , Драган Дяков Драганов, , , , , Атанас Костов Делибалтов, , , Ивелина Филчева Такева-Беберова, , Красимир Георгиев Георгиев, , Мария Александрова Ганева, Станимира Миткова Николова, , , , , Георги Стоянов Даскалов, , Християн Мирославов Торлозов, , , , , , , , 
, , Доброслав Иванов Иванов, , , , , Михаил Добринов Кашеров, , , , , Елена Димчева Петкова, , Николай Иванов Иванов, Недко Николов Петков, , , , , Антон Ганчев Драганов, , Светлана Василева Михайлова, , , , , , , , 
