ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Павела Василева Митова, Стефан Радославов Цончев, Вили Младенов Лилков, Светозар Стоянов Съев, Николай Георгиев Дренчев, Димитър Александров Митев, Ивайло Василев Юруков, Мая Божидарова Манолова-Найденова, Андрей Георгиев Андонов, Димитър Цонков Иванов, Цончо Томов Ганев, Кирил Атанасов Веселински, Кирил Петков Петков, Огнян Николаев Симеонов, Красимир Христов Янков, Спас Николов Спасков, Маргарит Владимиров Мицев, Татяна Дончева Тотева, Владимир Димитров Николов, Арман Агоп Бабикян, Георги Валентинов Георгиев, Мариян Иванов Белоев, Христо Танчев Проданов, Георги Панчев Куков, Карлос Арналдо Контрера, Петър Николаев Клисаров, Тимур Ахмедов Халилов, Борислав Димитров Сандов, Георги Иванов Иванов, Ангел Методиев Тасев, Александър Димитров Паунов
Александър Николов Вълчев, Явор Николаев Нанев, Иван Руменов Тодоров, Катина Никос Анастасова, Иво Георгиев Русчев, Васил Георгиев Младенов, Мария Николова Калайджиева, Никола Николов Вапцаров, Апостол Устиянов Мушмов, Стефан Владов Миланов, Виолета Радева Кърпачева, Деян Петев Петков, Атанас Петров Атанасов, Мартин Банков Иванов, Димитър Ангелов Чолаков, Десислава Йорданова Костадинова-Гушева, Венцеслав Боянов Колев, Данаил Валериев Георгиев, Владимир Милчев Апостолов, Георги Георгиев Иванов, Александър Койчев Иванов, Венцислав Венциславов Узунов, Николай Милчев Николов, Владимир Иванов Величков, Христо Панчев Смоленов, Калин Николов Павлов, Рахим Зафер Юмерефенди, Иван Георгиев Велов, Силва Милева Иванова, Росица Петрова Кавазова, Румен Николов Георгиев
Александър Викторов Рашев, Тодор Станимиров Сотиров, Ваньо Евгениев Шарков, Соня Иванова Иванова, Пламен Найденов Кръстев, Никола Костадинов Вучев, Пейчо Димитров Касъров, Иван Борисов Генов, Искра Страхилова Микова, Евелина Валентинова Димитрова, Ивайло Георгиев Чорбов, Румен Бончев Дунев, Вяра Методиева Тодева, , Димитър Георгиев Бакалов, Никола Йорданов Илиев, Мира Рашкова Атанасова, Георги Светломиров Петров, Николай Иванов Гарвански, Мерал Бехатова Бакалова, Тома Любомиров Биков, Петър Димитров Цветков, Мария Петрова Колева, Росен Кирилов Димов, Христо Валериев Иванов, Мирослава Людмилова Пешева, Дин Ахмед Онбаши, Иван Калчев Калчев, Розалия Стоянова Божилова, Атанас Владимиров Йосифов, Галина Вескова Николова
Иван Руменов Клисурски, , Жаклин Ваклуш Толева, Габриел Георгиев Герасимов, Савина Иванова Иванова-Оряшкова, Борислав Панайотов Неделков, Александър Стоянов Стоянов, Виктор Владимиров Йочев, Росица Желязкова Мутафчиева, , Христо Събев Милев, Теодора Кирилова Личева, Васил Стефанов Стефанов, , Христо Цанков Стоянов, Адриана Георгиева Брънчева-Драганова, Марин Неделчев Тодоров, Боян Любомиров Дуранкев, Светослава Иванова Горанова, Нели Костадинова Чакалова, Николай Нидал Алгафари, Параскева Никифорова Желева, Валери Петров Иванчев, Росен Божанов Сиромахов, Михаил Благовестов Оцетов, Анна Стоянова Орозова, Таня Александрова Иванова, Русислава Стефанова Захариева-Георгиева, Тодор Хараламбиев Ламбев, Даниел Кирилов Божилов, Радослав Петров Пешлеевски
Цветелин Минчев Хорозов, , Виктор Петьов Блъсков, Стефан Колев Данчев, Даниел Йорданов Йорданов, Иванка Матеева Благоева, Радослав Тодоров Радински, Антон Антонов Кръстев, Биън Чен Джан, , Панайот Бориславов Бориславов, Ивайло Владков Гроздев, Надежда Георгиева Йорданова, , Олга-Жаклин Нури Садик Ал-Ахмед, Кристиян Веселинов Достинов, Юлия Николова Вълчева-Трифонова, Любомир Тодоров Халачев, Любомир Димитров Кьосев, Надка Бориславова Готева, Владимир Андонов Данаилов, Георги Борисов Драганов, Таня Найденова Митова, Милена Цветанова Лекова, Димитър Борисов Антов, , Вайде Решидова Вазова, Зорница Велинова Стратиева, Иван Борисов Панов, Десислава Георгиева Георгиева, Красимир Георгиев Кузманов
Маргарита Пламенова Кънчева, , Росица Желязкова Рачева, Георги Методиев Христов, Теодор Василев Василев, Румен Огнянов Гълъбов, Цветелина Димитрова Георгиева, Борис Генадиев Панкин, Васви Асанов Сахатчиев, , Александър Георгиев Алексиев, Капка Михайлова Константинова, Венко Николов Сабрутев, , Георги Коев Ботев, Мартин Драгомиров Димитров, , Явор Бориславов Генов, Георги Христов Търнев, Станислава Иванова Николова, Александър Руменов Ненков, Любомир Красимиров Цеков, Ивайло Георгиев Маринов, Валентин Бориславов Неделков, Величко Ангелов Керин, , Реджеб Мехмед Акахмед, Мартин Ивайлов Величков, Станислав Георгиев Виларов, Тодор Живков Станков, Калин Недев Еников
Здравко Ангелов Михайлов, , Маноела Йорданова Георгиева, Михаил Бойков Зарев, Владимир Божидаров Тасев, Огнян Боянов Божилов, Ростислава Василева Димитрова, Петко Димитров Петков, Кирил Георгиев Петров, , Ани Ставрева Павлова, Ивайло Димитров Костадинов, Божидар Пламенов Божанов, , Силвия Кирилова Димитрова, Борянка Стойкова Дряновска-Кайкълар, , Марчо Митков Апостолов, Цвета Петрова Филипова, Веселина Евстатиева Благоева-Василева, Юлиян Пламенов Пейчев, Кристиян Божидаров Вучков, Юлиян Асенов Генов, , Калина Николаева Калинкова-Раданова, , Глория-Никол Емилова Найденова, Любомир Йорданов Попйорданов, Александър Трендафилов Етимов, Хриска Георгиева Маркова, Юлиана Веселинова Матеева
Борислав Климентов Пешев, , Константин Ангелов Йорданов, Георги Стефанов Стоев, Георги Емилов Димитров, Тодор Монов Янкулов, Виктор Йорданов Попов, Иван Андреев Петров, Пламена Петрова Иванова, , Лидия Георгиева Дуйна-Соколова, Християн Ивалинов Запрянов, Настимир Ананиев Ананиев, , Красимир Янакиев Янакиев, Рая Александрова Георгиева, , Гавраил Дончев Хрусанов, Антон Людмилов Милчов, Али Назиф Моллахалил, Кристиян Руменов Маджуров, Красимира Илианова Милчева, Емил Симеонов Велев, , Владимир Владимиров Христов, , Росен Димитров Димитров, Вера Веселинова Петканчин, Кристиян Вилиянов Бачев, Мариана Асенова Дражева, Владимир Николов Жиянски
Елисавета Илиева Пенчева, , Ануш Езник Езегелян, Иван Георгиев Вачев, Младен Георгиев Христов, Малинка Ангелова Тонова-Иванова, Едуард Бадуи Фадел, Юлиян Милчев Ненчев, Стефан Марков Марков, , Виктор Красимиров Неделчев, Мариета Георгиева Пешева, Полина Валентинова Крайнева, , Венцислав Дианов Стоянов, Габриела Георгиева Дакова, , Огнемир Александров Пенчев, Калоян Мирославов Маринов, , Мартин Веселинов Милев, Иванка Ангелова Петрова, Николай Димов Димов, , Петя Иванова Станчева, , Радостин Георгиев Димитров, Росен Тодоров Цонев, Валентин Сашков Малкочев, Елена Петрова Породинска, Виктория Добромирова Добрева
Илия Ганчев Иванов, , Янко Стоянов Стоянов, Златко Бориславов Илиев, Борис Димков Димчев, Весела Ангелова Стефанова, Валери Валериев Милушев, Христо Христов Бозуков, Христина Тодорова Хлебарска, , Георги Николаев Узунов, Екатерина Иванова Рангелова, Борислав Георгиев Ганчев, , Татяна Иванова Педерсен, Нина Стефанова Владимирова, , Пламен Марков Марков, Георги Петров Петров, , Анжелина Любенова Тотева, Слави Петров Бонев, Сава Иванов Диков, , Иван Валентинов Стойнев, , Григор Исмаил Рахими, Румяна Александрова Иванова, Александър Ангелов Павлов, Кристиана Красимирова Костадинова, Стоян Маринов Божков
Климент Кирилов Иларионов, , Ангел Николов Иванов, , Тодор Димитров Мадолев, Димитър Иванов Иванов, Пламен Илиев Джуров, Нора Анчева Симеонова, Димитър Атанасов Атанасов, , Калинка Василева Ганчева, Виктор Пламенов Георгиев, Георги Марков Клисурски, , Даниела Георгиева Генова, Теодора Панайотова Карагьозова, , Николета Калчева Лингорова-Христова, , , Георги Лъчезаров Захариев, Михаил Стефанов Паликов, Руси Иванов Статков, , Тодор Александров Александров, , Албена Малинова Аврамова, Петър Пламенов Кърджилов, Мартин Тодоров Стойков, Мирослава Антонова Личова, Тодор Атанасов Кънев
