ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Ивайло Ванев Вълчев, Михаил Боянов Генадиев, Петър Стефанов Москов, Христо Георгиев Лафчиев, Юлиан Методиев Андреев, Никола Костадинов Вучев, Дарин Димов Дросев, Александър Михайлов Сивилов, Иван Косев Манев, Димитър Стефанов Бунов, Петър Николаев Петров, Никола Николов Найденов, Христо Любомиров Иванов, Станислав Цветков Тодоров, Стефан Динчев Янев, Никола Йорданов Илиев, Диан Петров Караиванов, Пламена Пламенова Заячка, Валентин Симеонов Симов, Мария Василева Капон, Рая Назар Назарян, Елена Кирилова Ваташка, Георги Страхилов Свиленски, Етиен Херцел Леви, Карлос Арналдо Контрера, Красимир Манолов Стоянов, Едиз-Ханиф Баязидов Саидов, Тома Георгиев Белев, Светозар Венков Стефанов, Георги Стефанов Неделчев, Румен Николов Георгиев
Иван Стойнов Кючуков, Георги Ангелов Върбанов, Никола Симеонов Янков, Светослав Иванов Мандиков, Александър Димитров Арангелов, Чавдар Йорданов Герасимов, Дамян Иванов Качулски, Пламен Иванов Николов, Галя Жечева Иванова, Дилян Иванов Бахчеванов, Йордан Христов Тодоров, Светлин Костов Стоянов, Лена Здравкова Бориславова, Силвия Цветанова Давидова, Петко Христов Краев, Мария Венциславова Карагьозова, Георги Петров Мъндев, Иван Димитров Янев, Пламен Славчев Петров, Валентина Василева Василева-Филаделфевс, Христо Георгиев Гаджев, Вельо Найденов Иванов, Михаил Иванов Ставрев, Веселин Георгиев Пейков, Петър Кирилов Берон, Владимир Герчев Атанасов, Емил Стефанов Джурков, Даниела Стоянова Божинова, Ивайло Симеонов Христов, Евгени Николаев Христов, Спас Владимиров Спасов
Снежанка Райчова Траянска, Славчо Цветанов Сайков, Цецка Георгиева Бачкова, Цвета Иванова Павлова, Милко Христов Божанков, Стефан Василев Попов, Кирил Атанасов Николов, Боян Борисов Киров, Иван Радков Зарков, , Георги Хрисимиров Иванов, Боян Запрянов Тренев, Петър Василев Кьосев, Магдалена Ненова Дюлгерова, Кирил Димитров Колев, Руси Петров Русев, Васил Георгиев Найденов, Атанас Христов Мангъров, Калоян Борисов Йолов, Аделина Аркадиева Банакиева-Иванова, Тервел Николов Георгиев, Здравко Иванов Димитров, Александър Григориев Колев, Вахан Петроси Кехеян, Христо Валериев Иванов, Десислава Николаева Лепоре, Рахим Зафер Юмерефенди, Иван Георгиев Велов, Георги Петров Петров, Тодор Живков Станков, Александър Димитров Паунов
Илия Ганчев Иванов, , Светослав Михайлов Живков, Виктор Александров Кръстев, Здравец Николов Хайтов, Николай Антонов Радев, Антоанета Маринова Раковска, Йордан Йорданов Топалов, Веселин Димитров Добрев, , Панайот Бориславов Бориславов, Веселина Найденова Гекова, Йордан Ивов Терзийски, , Емил Янков Аврамов, Симеон Георгиев Стоименов-Смирнов, Михаил Михайлов Петков, Любомир Тодоров Халачев, Павел Няголов Камбуров, Ани Ангелова Вакъвчиева, Даниел Тихомиров Александров, Кристиян Божидаров Вучков, Владислав Тодоринов Пакеров, Драгомир Кирилов Модев, Тодор Александров Александров, , Мишел Методиева Николова, Вера Павлова Стаевска, Емил Илиев Калев, Кристиана Красимирова Костадинова, Елен Иванова Янкова
Михаел Чавдаров Рогачев, , Росица Желязкова Рачева, Бисерка Гошова Йотова, Васил Георгиев Адамов, Веселин Руменов Величков, Добрин Василев Добрев, Симеон Цветанов Миланов, Галина Димитрова Неделкова, , Петър Валериев Ананиев, Цветелина Емилова Шопниколова, Стоян Александров Михалев, , Николай Димитров Добрев, Борянка Стойкова Дряновска-Кайкълар, Димитър Калинов Крулев, Паскал Тодоров Желязков, Димитър Цветанов Тодоров, Славена Йорданова Килиджийска, Савина Йорданова Савова, Димитър Йорданов Запрянов, Иво Боянов Атанасов, Никола Георгиев Радулов, Владислав Лалов Лалов, , Григор Исмаил Рахими, Иван Калчев Калчев, Александър Трендафилов Етимов, Елена Петрова Породинска, Болеслав Марков Павлов
Явор Здравков Исаев, , Емил Ангелов Димитров, Димитър Стилиянов Стаменов, Младен Георгиев Христов, Емил Боянов Догазанов, Станислав Стоянов Стоянов, Борис Генадиев Панкин, Нейко Петров Петров, , Тодор Стоянов Гроздев, Веселин Добринов Колев, Росица Василева Пандова-Йовкова, , Бончо Димитров Фетваджиев, Мина Димитрова Попова, , Иван Георгиев Иванов, , Надка Бориславова Готева, Станислав Станиславов Петрунов, Светослав Огнянов Панайотов, Елена Тодорова Тиганева, , Виолета Стаменова Тодорова, , Шабан Мехмедов Моллов, Евгения Валентинова Мирчева-Георгиева, , Ива Петкова Иванова, Донка Иванова Александрова-Бубняк
Денис Николаев Цачев, , Николай Василев Тодоров, Юрий Михайлов Колчев, Ивана Андреева Влахова, Димитър Иванов Иванов, Константин Константинов Бонев, Стефан Николов Дончев, Манол Миленов Миланов, , Данаил Емилов Цанков, Васил Бойков Пеев, Мартин Димитров Димитров, , Георги Милчев Ташев, Снежанка Борисова Стамова, , Калчо Танев Танев, , Златин Жеков Войнов, Валентин Иванов Радев, Георги Антониев Ангелов, Борис Цветков Цветков, , Атанас Янев Митровски, , Иса Абедин Осман, Стоян Владимиров Бешков, , Христо Вълканов Ангелов, Калин Недев Еников
Лъчезар Стоилов Рагин, , Борислав Бориславов Лисев, Георги Стефанов Стоев, Гергана Александрова Апостолова, Лъчезар Тошинов Иванов, Мишо Цветанов Мишев, Весела Добрева Цолова, Моника Господинова Господинова, , Даниела Иванова Ненкова, Стефан Иванов Владов, Вяра Методиева Тодева, , София Георгиева Пенчева, Виктор Кирилов Рачев, , Андрей Бойков Николов, , Валентин Атанасов Туфекчийски, Георги Илиев Мешенлиев, Димитър Василев Георгиев, Иван Георгиев Айолов, , Марио Розалинов Пунчев, , Десислава Яворова Плявова, Стефан Бориславов Радев, , , Анна Пламенова Димитрова
Симеон Пламенов Георгиев, , Ивайло Иванов Караньотов, , Георги Емилов Димитров, Яна Красимирова Гълъбова, Венцислав Добрев Алексиев, Даниела Петрова Давидкова, , , Цветан Йорданов Пенчев, Александър Бойков Войнов, Мирослава Петрова Петрова, , Антон Богданов Петров, Борис Кирилов Рачев, , Георги Ангелинов Марков, , Венцислав Андонов Вълев, Томи Младенов Николов, Найден Тодоров Тодоров, Бойчо Цветков Момчилов, , Иван Велков Димитров, , Ивайло Любчев Аспарухов, Павел Павлов Антонов, , , Пламен Йотов Братанов
Галина Георгиева Борисова, , Надя Иванова Дилова, , Димитър Кирилов Конов, Данаил Веселинов Дамянов, Веселин Асенов Цветков, Димитър Александров Димитров, , , Боряна Павлова Велинова-Амори, , Васил Христов Пандов, , Моника Николаева Буровска, Красимира Димитрова Тасева, , Мария Тодорова Тодорова, , , Ева Михайлова Митова, Елена Георгиева Манасиева, Весела Илиева Василева, , Радослав Георгиев Георгиев, , Симона Стоянова Люцканова, Жана Иванова Иванова, , , Добриян Симеонов Малинов
Валя Стефанова Трифонова, , Георги Веселинов Костов, , Георги Иванов Денчев, Георги Крумов Стоянов, Георги Бориславов Василев, Стефан Атанасов Куртев, , , Кирил Асенов Пеев, , Филип Костов Илиев, , Александър Илианов Тошев, , , Савчо Славчев Танчев, , , Ивайло Елков Цеков, Мариян Иванов Белоев, Димитър Стоянов Стоянов, , Георги Иванов Несторов, , Роберт Русинов Цонин, Йонко Димитров Димитров, , , Никола Стойчев Николов
