ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Станислав Тодоров Трифонов, Светослав Емилов Витков, Никола Симеонов Янков, Нако Райнов Стефанов, Румен Ангелов Христов, Александър Трифонов Томов, Васил Крумов Божков, Ваня Руменова Григорова, Иван Маркос Христанов, Георги Венелинов Георгиев, Костадин Тодоров Костадинов, Радостин Петев Василев, Христо Христов Петров, Венцислав Атанасов Ангелов, Деница Христова Янакиева, Иван Стоименов Гешев, Радослав Иванов Илиев, Михаил Райков Миков, Христо Христов Дунчев, Николай Димитров Хаджигенов, Бойко Методиев Борисов, Боян Боянов Станков Расате, Корнелия Петрова Нинова, Николай Георгиев Марков, Ангел Чавдаров Джамбазки, Калин Николов Павлов, Станислав Димитров Анастасов, Георги Сашков Стефанов, Пиер Стоянов Божилов, Николай Миланов Николов, Николай Симеонов Малинов
Петя Божидарова Димитрова, Пресиян Димитров Иванов, Николай Иванов Радулов, Иван Цветанов Павлов, Атанас Георгиев Йончев, Тихомир Валериев Василев, Петър Георгиев Стефанов, Иван Кирилов Кирилов, Янко Атанасов Бахчеванов, Методи Веселинов Бъчваров, Маргарита Иванова Махаева, Христо Цветанов Расташки, Кристина Николаева Петкова, Димитър Стоянов Недялков, Светослав Николов Илиев, Весела Атанасова Драганова, Васил Георгиев Найденов, Борис Иванов Иванов, Иван Иванов Георгиев, Цветанка Иванова Иванова-Стоянова, Йорданка Асенова Фандъкова, Костадин Панайотов Димитров, Калоян Емилов Методиев, Виктория Димитрова Василева, Владимир Веселинов Митов, Александър Руменов Тодоров, Едиз-Ханиф Баязидов Саидов, Вера Павлова Стаевска, Камен Славянов Попов, Евгени Николаев Христов, Ивайло Любенов Иванов
Александър Викторов Рашев, Георги Ангелов Върбанов, Христо Георгиев Христов, Максим Генов Велков, Мадлена Нубар Георгиева, Емил Боянов Догазанов, Десислава Иванова Ковачева, Стоян Маринов Алексиев, Ана Георгиева Топалова, Стефан Владов Миланов, Славчо Ангелов Крумов, Деница Владимирова Цветкова, Калина Бориславова Константинова, , Кирил Бойков Дойчинов, Борислав Руменов Райчев, Светослав Сашов Савелев, Христо Петьов Колев, Райна Веселинова Милева, Аделина Аркадиева Банакиева-Иванова, Анна Василева Александрова, Любен Иванов Бубев, Георги Миланов Миланов, Росен Кирилов Димов, Димитър Борисов Антов, Цветомир Любомиров Спасов, Андрей Любомиров Георгиев, Константин Стоянов Иванов, Илия Василев Илиев, Валери Василев Венков, Радко Любенов Ханджиев
Емил Димитров Трифонов, , Валентин Любенов Павлов, Светослав Иванов Мандиков, Иван Александров Маринов, Елеонора Василева Велева, Антоанета Маринова Раковска, Анна Александрова Илиева, Минко Кирилов Ламбов, , Рая Ангелова Иванова, Боян Запрянов Тренев, Венеция Огнянова Нецова-Ангова, , Пламен Петров Василев, Милен Петков Петков, Константин Неделков Георгиев, Румен Вълов Петков, Калин Серафимов Николов, Теодор Петров Ангелов, Лъчезар Богомилов Иванов, Йордан Стоянов Манасиев, Поля Тодорова Христова, Драгомир Кирилов Модев, Калина Николаева Калинкова-Раданова, Цветомир Кирилов Целов, Таня Александрова Иванова, Емилия Боянова Балчева, Стилиян Стоянов Иванов, Светла Михайлова Милушева, Радослав Петров Пешлеевски
Явор Здравков Исаев, , Константин Ангелов Йорданов, Соня Иванова Иванова, Васил Стефанов Василев, Чавдар Йорданов Герасимов, Георги Бориславов Василев, Светослав Кирилов Велков, Милена Драганова Спасова, , Вениамин Иванов Воденичаров, Искрен Митков Пенев, Елисавета Димитрова Белобрадова, , Петя Вениславова Пеловска, Кристиян Веселинов Достинов, Мариана Стоилкова Костова, Марина Сергеевна Драгомирецкая, Борислав Стефанов Ойков, Лиляна Йоцова Стефанова, Петър Николаев Николов, Димитър Василев Георгиев, Аспарух Асенов Иванов, Росен Божанов Сиромахов, Бойко Александров Младенов, , Аспарух Аспарухов Карастоянов, Живко Димитров Богданов, Мартин Емилов Митов, Катя Костова Николова, Ивайло Стефанов Маринов
Ганка Иванова Гилова-Миладинова, , Георги Костов Стефанов, Атанас Марио Милушев, Виктор Радославов Викторов, Дарина Петрова Велкова, Венцислав Веселинов Бонков, Христо Тодоров Маринов, Искра Страхилова Микова, , Миглена Милчева Пейкова, Самуил Борисов Славов, Дончо Иванов Чернев, , Любомир Иванов Киров, Рая Александрова Георгиева, , Петър Петров Павлов, Цветомир Димитров Начев, Георги Георгиев Иванов, Осман Верхадов Ислямов, Николай Георгиев Балтаджиев, Ивайло Петров Модев, Никола Георгиев Радулов, Виолета Стаменова Тодорова, , Мария Христова Савчева, Симеон Арангелов Арангелов, Ивайло Симеонов Христов, Галина Пенчева Иванова, Добриян Симеонов Малинов
Людмила Петрова Георгиева, , Стоян Захариев Стоянов, Андрей Димитров Попов, Иван Христов Кьоропанов, Смилен Маленков Иванов, Емил Слободанов Павлович, Антони Александров Томанов, Биън Чен Джан, , Людмил Людмилов Мановски, Цветелина Емилова Шопниколова, Никола Иванов Алексиев, , Димитър Христов Кьосев, Стоян Костадинов Хаджиев, , Даниел Георгиев Илчев, Мирослав Цочев Цочев, Кирил Алексиев Кирилов, Даниела Руменова Райчева, Цветан Райков Младенов, Гергана Мариова Петкова, Валентин Бориславов Неделков, Ваня Любенова Стоименова, , Недялко Бончев Русков, Борислав Георгиев Димитров, Емил Илиев Калев, Валери Кузманов Иванов, Никола Асенов Бенчев
Станимир Динев Господинов, , Иван Петров Игнатов, Димитрина Крумова Иванова, Росен Марианов Маринов, Иван Костадинов Бочков, Иво Иванов Лулчев, Светослав Георгиев Илиев, Васви Асанов Сахатчиев, , Любомир Диков Дуновски, Калоян Ангелов Неков, Венцислав Василев Кръстев, , Митко Енчев Димитров, Силвия Николаева Коцева, , Йоанна Петрова Ортова, , Иван Савов Алфьоров, Младен Василев Младенов, Здравко Петков Пенев, Илиян Илиев Павлов, , Любомир Асенов Кръстанов, , Стела Мариянова Маринова, Русислава Стефанова Захариева-Георгиева, Кристиян Вилиянов Бачев, Иван Рангелов Манов, Донка Иванова Александрова-Бубняк
Ина Иванова Кючукова, , Преслав Александров Нечов, , Мирослав Радославов Тодоров, Пламен Теодосиев Иванов, Веселин Стефанов Радков, Валентин Костадинов Иванов, Кирил Георгиев Петров, , Юлиян Юлиянов Василев, Николай Валериев Иванов, Ивайло Йорданов Йорданов, , Лидия Иванова Караиванова-Димитрова, Ина Борисова Методиева, , Никола Емилянов Николов, , Веселина Евстатиева Благоева-Василева, Милко Антонов Младенов, Ян Ивов Стоименов, Румен Стефанов Георгиев, , Кристиян Костев Филипов, , Вадим Ангелов Кехайов, Росен Димитров Василев, Стефан Красимиров Георгиев, Снежана Любомирова Лазарова, Анна Пламенова Димитрова
Антония Танева Тонева-Исаева, , Рупен Оханес Крикорян, , Асен Александров Жеков, Иванка Матеева Благоева, Лилия Любомирова Францова-Богданова, Златомир Спасов Николов, , , Владимир Емил Борисов, Веселин Любомиров Тодоров, Радослав Стефанов Йовчев, , София Георгиева Пенчева, Калин Николаев Коцев, , Павел Славейков Георгиев, , , Иван Вълчев Чакъров, Венцислав Николов Русинов, Марио Томов Трайков, , Юлиян Стоянов Докузанов, , Глория-Никол Емилова Найденова, Веселин Николов Дробенов, Мартин Тодоров Стойков, , Димка Василева Попстоянова
Анета Господинова Хайрединска, , Васил Стойов Георгиев, , Божидар Павлинов Захариев, Върба Трифонова Стоянова, Михаил Стефчов Стойков, Иван Герасимов Петрински, , , Росен Валериев Димитров, Християн Ивалинов Запрянов, Георги Георгиев Чичков, , Станислав Емилов Сираков, Снежанка Борисова Стамова, , Марчо Митков Апостолов, , , Слави Валентинов Маноилов, Станислав Николаев Спиридонов, Милко Николаев Панов, , Галина Димитрова Стефанова, , Славян Радоев Радойчовски, Стоян Владимиров Бешков, Стоян Георгиев Димитров, , Асен Денков Асенов
