ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Силви Кирилов Петров, Славчо Цветанов Сайков, Съби Давидов Събев, Добри Милчев Божилов, Александър Димитров Арангелов, Силвия Чернева Георгиева, Добрин Василев Добрев, Стойчо Сотиров Гълъбов, Петър Димитров Петров, Ганчо Костадинов Николов, Ангел Николаев Славчев, Георги Милчев Чепишев, Александър Димитров Симидчиев, Недялко Иванов Танев, Лало Георгиев Кирилов, Весела Атанасова Драганова, Адиел Радославова Илиева, Данаил Валериев Георгиев, Васко Райчинов Йотов, Станислав Димитров Готев, Младен Найденов Маринов, Петър Христов Виденов, Иван Ивайлов Ченчев, Виктория Димитрова Василева, Богомил Емилов Бранков, Владимир Иванов Величков, Цветан Иванов Енчев, Александър Димитров Дунчев, Камен Славянов Попов, Валери Василев Венков, Радко Любенов Ханджиев
Венцислав Михайлов Асенов, , Иван Кирилов Палев, Бисерка Гошова Йотова, Станислав Огнянов Тошев, Петя Ангелова Речи, Станислав Стоянов Стоянов, Йордан Тодоров Гергов, Румяна Георгиева Борисова, Димитър Иванов Димитров, Иван Арсов Иванов, Ива Емилова Николова, Сия Георгиева Шехтанова, Росица Борисова Генчева, Даниела Станимирова Дашева, Николина Красимирова Спасова, Димитър Жоров Сербезов, Валентина Димитрова Станкова, Петър Димитров Илчов, Десислава Димитрова Толинова, Марин Василев Маринов, Светослав Огнянов Панайотов, Борис Добринков Дренов, Владимир Иванов Величков, Благовест Йорданов Бичаков, Петър Николаев Клисаров, Иво Севдалинов Цанев, Йонко Димитров Димитров, Стоян Георгиев Димитров, Снежана Любомирова Лазарова, Веско Иванов Паунов
Борислав Атанасов Топалов, , Цветелина Съйнова Чипилска-Капла, Младена Йорданова Германова-Шуманова, Юлиан Методиев Андреев, Даниела Пенчева Тодорова, Александър Славчев Григоров, Петко Димитров Петков, Ивайло Василев Димитров, , Петър Костадинов Петров, Боян Веселинов Караиванов, Петър Василев Кьосев, , Калин Георгиев Григоров, Богомила Петрова Михайлова, Виолета Иванова Казакова-Георгиев, Милчо Иванов Владимиров, Асен Николов Караманчев, Али Назиф Моллахалил, Дамян Русинов Маринов, Петьо Колев Пенчев, Лъчезара Лъчезарова Николова, Венцислав Иванов Генчев, Бойко Александров Младенов, , Димитър Иванов Григоров, Мартин Михайлов Заимов, Мартин Емилов Митов, Цветан Николов Тодоров, Стоян Маринов Божков
Георги Иванов Иванов, , Евгени Николов Додов, Юрий Михайлов Колчев, Савина Иванова Иванова-Оряшкова, Христо Симеонов Стаменов, Никола Драганов Гостев, Живка Кирилова Трифонова, Ралица Христова Димитрова, , Даниела Димитрова Станкова, Соня Стефанова Гарчева, Румен Владимиров Лафчийски, , Владимир Веселинов Велчев, Радослав Венциславов Илиев, Димитър Калинов Крулев, Емил Маринов Лесев, Калоян Борисов Йолов, Стоян Димитров Николов, Евгени Йорданов Божилов, Димитър Иванчев Мирков, Васил Георгиев Василев, Веселин Георгиев Пейков, Денислав Венциславов Милушев, , Кристина Стоянова Костадинова, Красимира Лука Тодорова, Павлина Иванова Влъчкова, Виктор Стефанов Вътев, Ивайло Стефанов Маринов
Радостина Александрова Методиева, , Васил Славов Александров, Веселка Василева Зафирова, Едоард Николаев Ненков, Татяна Маринова Михайлова, Максим Колев Генчев, Александър Феодоров Кръстев, Николай Петев Кючуков, , Тодор Стоянов Гроздев, Николай Валериев Иванов, Христин Цветолюбов Савов, , Виктория Цветанова Машовска, Гергин Людмилов Малинов, , Зорка Александрова Станоева, Върбан Маринов Вутов, Тодор Василев Василев, Николай Николаев Велков, Надежда Йорданова Таскова, Владимир Георгиев Марков, , Христо Панчев Смоленов, , Марко Димитров Марков, Борислав Георгиев Димитров, Светозар Венков Стефанов, , Болеслав Марков Павлов
Николай Иванов Стоянов, , Георги Лъчезаров Заркин, Михаил Бойков Зарев, Иво Драгомиров Дечев, Руслан Димитров Михайлов, Стоян Андреев Цветков, Антон Димитров Димов, Тодор Димитров Тодоров, , Димитър Тимчев Георгиев, Деница Иванова Динева, Димитър Ивайлов Павлов, , Валентин Янков Вуков, Димитър Стефанов Димитров, , Ива Ценова Галева, , Димитър Николов Дойнов, Петър Димитров Миланов, Емил Ясенов Бошнаков, Красимир Асенов Арсенов, , Светлана Милчова Христова, , Жулиен Бисеров Стоянов, Росен Димитров Василев, Георги Петров Петров, , Правда Димова Цанкова-Кънева
Георги Даниелов Босилков, , Ангел Костадинов Ангелов, , Гергана Александрова Апостолова, Йордан Маринов Узунов, Мадлена Георгиева Борисова, Емил Христов Даскалов, Диана Петкова Петкова, , Димитър Тодоров Косев, , Иван Димитров Димитров, , Неофит Николаев Дюлгеров, Венцислав Кирилов Карагьозов, , Надежда Минчева Чорбанова, , Магдалена Димова Войнова, Лиляна Василева Алексиева, Тони Петров Стойков, Стамен Цветанов Македонски, , Кирил Стойнев Стойков, , Васил Маринов Николов, Веселин Николов Дробенов, Антон Петров Попов, , Мария Методиева Александрова
Мартин Емилов Методиев, , Румен Драгомиров Драганов, , Светослав Ангелов Александров, Благой Атанасов Савов, Стоян Иванов Иванов, Пламен Витков Зарев, Златина Боянова Маринова, , Красимир Петков Тончев, , Валери Драгомиров Дамянов, , Бистра Георгиева Коцева, Десислава Симеонова Симеонова, , Сиана Петрова Петрова, , Сава Ростиславов Алфьоров, Ангел Георгиев Милчев, Илиян Симеонов Симеонов, Недялка Тошкова Николова, , Георги Христов Николчов, , Марчела Красимирова Андреева, , , , Николай Марианов Николов
Иван Димитров Иванов, , Владимир Пламенов Борисов, , Павел Христов Денков, , Борис Атанасов Голомехов, Венцислав Петров Димитров, Цветослав Иванов Стоянов, , , , Росен Атанасов Неделев, , Ивайло Василев Данчулов, , , Венцислав Димитров Коев, , , Валентин Мирчов Милушев, , Надя Богданова Тодорова, , Диана Михайлова Стоянчова, , Яко Бобев Банчев, , , , Милчо Петков Александров
Паолина Николаева Вецева-Добрева, , Яница Георгиева Иванова, , Мартина Мартинова Пеева, , Моника Маринова Раковска, Георги Цветанов Невлев, , , , , Иван Димитров Цанов, , Цветалина Методиева Лазарова, , , Димитринка Филипова Димитрова, , , Звезделина Мирославова Котларова, , Славина Найденова Радомирова, , Стоян Динчев Павлов, , Айлин Джеват Мехмед, , , , Станислав Асенов Асенов
, , , , Виктор Радославов Викторов, , Владимир Иванов Тодоров, Дария Чавдарова Младенова, , , , , Радослав Борисов Костадинов, , Георги Сеферинов Георгиев, , , Григор Георгиев Янакиев, , , Младен Тодоров Медаров, , Зорница Трифонова Василева, , Борил Валентинов Караканов, , Ивайло Иванов Павлов, , , , Валери Борисов Павлов
