ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Александър Николов Вълчев, Маринела Боянова Маргаритова, Борислава Пламенова Пенева, Пламен Панайотов Пасков, Иван Борисов Грозданов, Гарабед Ардашес Минасян, Боянка Колева Янкова, Щерьо Атанасов Щерев, Яни Иванов Андреев, Христо Генчев Георгиев, Искра Михайлова Михайлова, Красимир Цветков Манов, Радослав Стефанов Рибарски, Иван Александров Иванов, Красимир Христов Янков, Димитър Милков Ламбовски, Георги Петров Мъндев, Цветеслава Иванова Гълъбова, Анна Георгиева Кирилова, Николай Ангелов Николов, Красимир Георгиев Вълчев, Денис Стратиев Генев, Драгомир Велков Стойнев, Красимира Петкова Нинова-Катинчарова, Красимир Симеонов Червилов, Маргарит Йорданов Карабуров, Халил Реджепов Летифов, Петко Костадинов Ковачев, Венко Янчев Динев, Деян Сашев Александров, Атанас Ралчев Панчев
Павела Василева Митова, Мариус Валериев Стоянов, Борис Йорданов Тасков, Димо Нецов Нецов, Румен Генов Генов, Георги Минков Минков, Румен Василев Стоянов, Йордан Маринов Йорданов, Милена Драганова Спасова, Мустафа Али Асан, Даниел Станиславов Проданов, Веселин Веселинов Скравенски, Атанас Владиславов Славов, Недялко Иванов Танев, Генади Белчев Генов, Нина Стефанова Владимирова, Калин Димитров Крулев, Жара Веселинова Пенева, Иван Велев Иванов, Теодор Петров Ангелов, Маноил Минчев Манев, Иван Николаев Караколев, Неделчо Кръстев Маринов, Стоян Иванов Тодоров, Атанас Николов Боев, , Иса Емин Бесоолу, Михаела Енчева Джонсън, Ангел Димитров Стоянов, Галина Пенчева Иванова, Михаил Минчев Минчев
Тихомир Гочев Тенев, Веселин Антонов Христов, Михаил Христов Михов, Иван Стефанов Иванов, Гено Иванов Георгиев, Теодора Стоянова Арнаудова, Каролина Георгиева Пенчева, Божидар Христов Станчев, Апостол Устиянов Мушмов, Асен Огнянов Асенов, Димитър Пламенов Пашев, Георги Николов Михайлов, Радослав Красенов Василев, Танка Младенова Попова, Данислав Маринов Дончев, Пламен Диянов Димов, Силвия Александрова Цветкова, Вяра Николова Захариева, , , Илиана Петкова Жекова, Николай Георгиев Балтаджиев, Мариана Атанасова Тодорова, Иван Митков Митев, Димо Колев Димитров, , Николай Тонев Колев, Милен Тенчев Тенев, Андон Недялков Андонов, Виктор Стефанов Вътев, Милен Петров Петров
Живка Михалева Железова, Николай Златев Мушников, Боян Димитров Славов, Живко Христов Димитров, Митко Пенев Танев, Екатерина Величкова Хубчева, Стойчо Христов Чичеков, Мариана Иванова Христова, Манол Миленов Миланов, , Яна Мартинова Динева, Калоян Ангелов Атанасов, Бончо Григоров Григоров, Теодора Стефанова Славова, Милена Стоянова Бойчева, Тотко Станимиров Ангелов, Емил Йорданов Кънев, Радион Василев Попов, , , Антон Тодоров Тонев, Йордан Атанасов Петров, Георги Димитров Йорданов, Златина Николаева Иванова, Иван Генков Илиев, , Шендоан Ремзи Халит, Ваня Атанасова Ангелова, Иван Господинов Иванов, , Йорданка Димитрова Петкова
Владимир Юриев Радков, , Юлия Тенева Кючукова, Тихомир Динев Томов, Надежда Иванова Димова-Денева, Михаил Георгиев Михайлов, Галина Николаева Киркова, Диана Иванова Искрева-Идиго, Димитър Атанасов Атанасов, , Ива Серьожева Ангелкова, Атанас Тодоров Атанасов, Борислав Руменов Вълчев, , Никол Тенева Нанева, Атанас Димитров Георгиев, Десислав Маринов Цветков, Койчо Динчев Койчев, , , Десита Динкова Петкова, Мариела Георгиева Топалска, Галина Куманова Господинова, , Валентин Ангелов Ангелов, , Мехмед Неджми Зейнел, Цветелина Петрова Костадинова, Блага Василева Торкова, , Красимир Минков Ботев
Николай Русенов Колев, , Ваня Георгиева Шомова, Йонко Станев Димов, Мирослав Николаев Вълчев, Христо Красимиров Рашев, Кольо Дончев Колев, Венка Панова Василева, Калоян Багрянов Йорданов, , Тодор Руменов Делчев, Виктор Проданов Янчев, Явор Велчев Янулов, , Петър Георгиев Карагьозов, Памела Тодорова Георгиева, Илиян Росенов Велчев, Атанас Христов Мангъров, , , Пламен Едрев Иванов, Зоя Андреева Рангелова, Момчил Донев Ненов, , Николай Величков Марков, , Дженал Ниази Топалова-Яшар, , Ели Косева Желязкова, , Кольо Пенев Бобчев
Борислава Георгиева Борисова, , , , Красимира Костадинова Златева, Иван Николов Арнаудов, Нина Минчева Пенчева, Владимир Динков Динев, Иван Радков Зарков, , Наталия Данчева Змеева, Георги Валентинов Георгиев, Яница Милканова Господинова, , Драган Георгиев Попов, , , Стоян Минчев Стоянов, , , Красимир Костов Пейчев, Петър Димитров Цветков, Динко Колев Господинов, , Елеонора Вангелова Динева, , Метин Ялзер Качан, , Вълчо Господинов Петров, , Анелия Атанасова Ваклинова
Нели Нейкова Цанева, , , , , Минко Георгиев Минков, Тихомир Митев Трифонов, Стефан Митрев Димов, Светослав Жечков Еленков, , Симеон Тодоров Шопов, Грозьо Петров Маринов, Георги Танев Стоянов, , , , , Силвия Иванова Иванова, , , Манчо Георгиев Димитров, Ян Ивов Стоименов, Тодор Стайков Ковачев, , Владимир Борисов Йорданов, , Тунджай Рамадан Йозтюрк, , Керана Руменова Ангелова, , Деян Пейчев Гутев
Иван Андреев Андреев, , , , , Галя Сашева Пенева, Радка Марчева Динева Йолез, Галина Иванова Младенова, , , Дончо Кънчев Радев, Станимир Бойков Иванов, Станка Стоянова Хърсева, , , , , Десислава Ганчева Ракова, , , Бояна Тихомирова Танева Манова, Орлин Иванов Пандарев, Пламен Илчев Запрянов, , Мария Ангелова Нанева, , Юзеир Али Кенан, , Васил Светославов Даскалов, , Гочо Димов Жеков
Ружа Филипова Андролова, , , , , , Ивелин Иванов Христов, Господин Иванов Иванов, , , Красимир Славов Колев, Цветелин Иванов Кирилов, Пенка Стайкова Василева, , , , , Светослав Тодоров Тарълов, , , Светлин Стоянов Стойчев, Илия Галинов Гюров, Неделин Костадинов Марков, , Константин Жеков Балабанов, , Иван Енев Костадинов, , Андон Маринов Андонов, , Стоил Сребрев Авуски
Братана Красимирова Кънчева, , , , , , Детелина Димова Кабакова, Петър Матеев Стоянов, , , Стоил Михайлов Минев, Петър Любенов Станков, Татяна Деянова Гюзелева-Манолова, , , , , Камелия Димчева Стаматова-Йовчева, , , Дарина Атанасова Василева, Мартина Пламенова Шикова, Камен Ивов Мартинов, , Димитър Невилинов Димитров, , Мелиса Мустафова Черкезова, , Красимир Недялков Желязков, , Петър Господинов Петров
