ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Александър Стайков Марков, Веселин Дочев Белевски, Петър Стефанов Москов, Димитър Николаев Димитров, Росен Йорданов Димитров, Александър Цветанов Гарибов, Румен Боянов Райчев, Владимир Димов Вълков, Яни Иванов Андреев, Стефан Георгиев Сталев, Георги Николаев Георгиев, Венцислав Иванов Петков, Асен Васков Василев, Антон Митков Желязков, Тихомир Недев Георгиев, Адриан Тончев Проданов, Милен Михайлов Икономов, Паскал Тодоров Желязков, Теодора Валентинова Симова, Валентина Василева Василева-Филаделфевс, Делян Александров Добрев, Иван Николаев Караколев, Атанас Зафиров Зафиров, Костадин Веселинов Враджалиев, Александър Маиров Сиди, Маргарит Йорданов Карабуров, Станислав Димитров Анастасов, Огнян Атанасов Христонев, Андон Димитров Филипов, Мишо Георгиев Янев, Атанас Ралчев Панчев
Божин Петров Божинов, Божидар Иванов Колев, Димитрия Вълкова Колева, Николай Делчев Георгиев, Жечко Христов Желязков, Таня Николова Гочева, Кирил Атанасов Николов, Мирослав Стефанов Георгиев, Фатме Хашимова Мустафова, Валентин Асенов Христов, Венета Колева Стоянова, Росен Красимиров Иванов, Катя Максимова Панева, Красимир Иванов Тодоров, Димитър Ивов Дамянов, Марко Запрянов Марков, Марин Неделчев Тодоров, Борислав Иванов Митрев, Владимир Милчев Апостолов, Красимир Георгиев Димитров, Георги Тенев Станков, Здравко Иванов Димитров, Смиляна Николова Нитова-Кръстева, Христо Николов Петров, Антон Кирилов Иванов, , Мюмюн Сали Мюмюн, Гергана Русева Георгиева, Иван Димитров Филипов, Станислав Георгиев Савов, Йорданка Димитрова Петкова
Иван Петков Иванов, , Марин Василев Калинков, Валентин Иванов Георгиев, Веселина Данчева Христова, Иринка Стоянова Вълчева, Феркан Иванов Янков, Стоил Тонев Стоилов, Нина Иванова Добрева, , Даниел Христов Леков, Мариела Василева Петропулу, Дарина Стайкова Влайкова, Стоян Димитров Бабачев, Димитър Владимиров Асенов, Атанас Георгиев Шидеров, Добромирка Георгиева Николова, Александър Димитров Сакалов, , Нели Костадинова Чакалова, Деян Красимиров Иванов, Петьо Колев Пенчев, Пламен Минчев Панев, , Ростислава Захариева Жекова, , Серкант Сейхан Сейдамед, Петко Костадинов Ковачев, Колю Николаев Найденов, , Станислав Добчев Василев
Ангел Петров Петков, , Веселина Железанова Узунова, Цветелина Пламеновна Паскова, Евгени Тодоров Матев, Петко Стоянов Каленов, Петко Милков Пеневски, Мария Трендафилова Велчева, , , Ясен Митков Колев, Свилен Стайков Георгиев, Атанас Петров Атанасов, Велика Димитрова Радева, Стефан Деянов Георгиев, Пламен Йорданов Клинков, Георги Василев Георгиев, Милена Вълчева Нанева, , Христо Трифонов Христов, Иван Величков Минев, Живка Стойчева Стойчева, Георги Апостолов Бекяров, , Недялка Тошкова Иванова, , Мехмед Лятиф Шакир, Ваня Атанасова Ангелова, Румяна Колева Панайотова, , Ваня Атанасова Георгиева
Галина Латева Чакърова-Радославова, , Минчо Боев Кермекчиев, Георги Иванов Янкулов, Иван Георгиев Георгиев, Минко Георгиев Минков, Красимир Димов Димов, Димитър Проданов Проданов, , , Красимира Петрова Христова, , Хасан Ергюн Бекир, , Атанас Иванов Ванков, , , Ганчо Маринов Ганев, , Боян Иванов Михайлов, Стефка Здравкова Стефанова, Латинка Петрова Суева, Васил Иванов Точков, , Георги Скулев Димитров, , Йозджан Расим Мехмед, Цветелина Петрова Костадинова, Лидия Рашева Петкова, , Димитър Славов Димитров
Валентин Димитров Делчев, , Живко Ташев Димитров, Иванка Борисова Илчева, Анна Юри Меликсетян, , Иван Вълчанов Иванов, Теодор Кирилов Стефанов, , , Росица Тянчева Христозова, , Лозко Стефанов Лозев, , Диан Владимиров Латунов, , , Мирослав Росенов Минев, , , Божидар Петков Петков, Иван Георгиев Столинчев, Янка Тодорова Чолакова, , Стоян Кирилов Каракашев, , Гюнер Гюнай Зейнал, , Красимира Павлова Павлова, , Веселин Митков Иванов
Димитър Ангелов Харишев, , Живко Ванчев Лозев, Петко Илчев Петков, Петър Стефанов Мавров, , Красимир Данчев Койчев, Исмаил Мустафа Мюмюн, , , Марияна Василева Иванова, , Младен Тодоров Запрянов, , Веселин Веселинов Йосифов, , , Валентин Йорданов Стамов, , , Евгения Даниелова Ангелова, Петър Емилов Петров, Ясенка Киркова Симитчиева, , Надежда Валентинова Зарева-Ванчева, , Сание Рамадан Иса, , Юлиян Станиславов Кьоров, , 
Паолина Светозарова Петкова, , , Георги Димитров Майоров, , , Атанас Николаев Карчев, Иглика Цветкова Мишева-Брусева, , , Марин Георгиев Филипов, , Кирил Кирилов Търпов, , Благовест Иванов Винаров, , , Недялко Георгиев Думанов, , , Митко Костадинов Полихронов, Слави Петров Бонев, Иван Петков Педев, , Владимир Иванов Канелов, , Евгени Младенов Кисимов, , Гюлтен Фейзула Мехмед, , 
, , , Янко Иванов Митев, , , Красимир Илиев Янев, , , , Атанас Кръстев Кръстев, , Христо Стефанов Стефанов, , Кристиян Ангелов Божинов, , , Живко Николов Чакракчиев, , , Митко Петров Петров, , Делян Митков Делчев, , Румяна Николова Андреева-Йовчева, , Байрам Шенол Реджеб, , Тодорка Георгиева Ванева, , 
, , , Тенчо Христов Иванов, , , Деян Костадинов Тенев, , , , Димитър Христов Димитров, , Светла Емилова Симидчиева, , , , , Лъчезар Славеев Димитров, , , Васил Димитров Митев, , Янко Атанасов Илиев, , Николай Неделчев Вълчев, , Симеон Петев Ангелов, , , , 
, , , Николай Драганов Николов, , , Емил Стефанов Андреев, , , , Тихомир Иванов Трендафилов, , Калоян Дончев Добрев, , , , , , , , Атанас Емилов Асенов, , Вълчан Николов Тодоров, , Даниела Маринова Вълчева, , Мухлис Фариз Сербест, , , , 
