ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Ивайло Симеонов Костадинов, Борислав Николаев Маринов, Борислав Христов Борисов, Румен Милчев Сакеларов, Диян Христов Йорданов, Сергей Петков Инджов, Йордан Вълчев Йорданов, Мая Божидарова Манолова-Найденова, Недко Павлов Колев, Панайот Иванов Панайотов, Веселин Миленов Вешев, Никола Валериев Тодоров, Николай Денков Денков, Радка Маринова Душева, Сашо Стефанов Евлогиев, Анатоли Светлинов Стрелков, Румен Владимиров Русев, Димитър Славчев Ковчазов, Васко Райчинов Йотов, Ясен Живков Стойчев, Любомир Димитров Христов, Вельо Найденов Иванов, Борислав Гуцанов Гуцанов, Грета Красенова Нягулова-Стефанова, Ивайло Пламенов Шопски, Йордан Георгиев Лазаров, Айсел Исмаил Руфад, Свилен Йорданов Стойчев, Орлин Симеонов Първулов, Неделчо Костадинов Неделчев, Ивайло Петров Иванов
Мартин Василев Капралов, Николай Руменов Радев, Снежина Пламенова Желязкова, Георги Иванов Георгиев, Дилян Добромиров Муткуров, Елена Атанасова Димитрова, Едуард Бадуи Фадел, Милена Христова Маринова, Мария Йорданова Атанасова, Радослава Асенова Тодорова, Ивайло Бойчев Обретенов, Георги Ненов Няголов, Нели Стойчева Димитрова, Дарина Недева Тодорова, Небат Мехмедов Кадиров, Нели Николаева Георгиева, Димитър Илиев Стоянов, Ивайло Василев Иванов, Йордан Пейчов Венков, Цветан Иванов Цонев, Илтер Бейзатов Садъков, Тихомир Тихомиров Тодоров, Катя Гинева Кайрякова, Николета Димитрова Николова, Явор Цеков Якимов, Атанас Стоянов Атанасов, Хамид Бари Хамид, Илиян Иванов Илиев, Славка Тодорова Атанасова, Мариана Асенова Дражева, Петър Иванов Синджирлиев
Йордан Ангелов Йотов, Явор Николаев Нанев, Гергана Викторова Велева, Зюлкюф Ахмед Бурук, Виолина Христова Каменова, Красимир Тодоров Куртев, Владимир Васков Василев, Светлин Николаев Стрелков, Стоян Гачев Николайчев, , Стоян Веселинов Стоянов, Емил Димитров Георгиев, Иван Кирилов Иванов, Денислав Христов Дросев, Марияна Стилиянова Тодорова, Яница Христова Якоб, Арменак Ованез Хачикян, Светослава Миланова Михайлова, , , Евгений Цанков Цанков, Петко Георгиев Колев, Михайл Петров Михайлов, Пламен Пламенов Петров, Иван Спасов Калайджийски, , Йозлям Хасан Джевдет, , Ивелина Иванова Върбева, , Корнелия Тодорова Цонева
Никола Ангелов Николов, Николай Стефанов Ангелов, , Атанас Марио Милушев, Васил Димитров Петров, , Калоян Георгиев Чанев, Веселин Кирилов Тодоров, Стоян Димитров Шайков, , Борислав Валентинов Костов, Красен Илчев Пейчев, Бюнямин Хюсеин Хасан, Станил Миролюбов Кавалски, Глория Георгиева Зашева, Камен Валентинов Божков, Михаил Дончев Дончев, Христомир Цанков Христов, , , Ралица Тодорова Ангелова, Иванка Лазарова Етова, Гергана Георгиева Николова, Стефани Стефанова Андреева, Христо Георгиев Драгозов, , Айсел Алиева Мустафова, , , , Любомир Здравков Пашов
Христо Данков Димитров, Никола Димитров Петров, , Георги Любомиров Желязков, , , , Лидия Василева Ангелова, , , Светла Димитрова Станкова, Павлин Любомиров Александров, Захари Георгиев Борачев, , Биляна Стоянова Белчева, Андрей Антониев Джамбазов, , Йовка Димова Белева, , , Димитричка Господинова Недева, Латинка Петрова Суева, Ивайло Цветелинов Иванов, Валери Теменужков Кирилов, Дария Мартинова Червенкова, , Гьокхан Илхан Реджеб, , , , Мирослав Николаев Кацаров
Николай Любенов Иванов, Цветелина Венелинова Христова, , , , , , Милка Иванова Бодурова, , , Мирослав Стойчев Кьосев, , Николай Емилов Христов, , Станислава Божидарова Стоянова, Борис Крумов Апостолов, , Орхан Ахмед Бюнямин, , , Димитър Крумов Александров, Георги Динков Петров, Даниел Атанасов Дончев, Любомир Димитров Николов, Явор Венков Вълчанов, , Рафет Седатов Исмаилов, , , , Илиян Димитров Янакиев
Марияна Николаева Георгиева, , , , , , , Геновева Божидарова Цветкова, , , Боряна Димитрова Йорданова, , Богомил Петров Петров, , Лъчезар Тодоров Пенчев, , , , , , Кристиян Георгиев Механджийски, , Евгения Евгениева Леополдова, Ивайло Тихомиров Тодоров, Роман Константинов Костов, , Тиджел Ремзи Заид, , , , 
Анатоли Иванов Лазаров, , , , , , , Момчил Веселинов Димитров, , , Николай Йончев Пеков, , Дияна Тодорова Николова, , Станислав Николаев Петков, , , , , , Борис Илиев Иванов, , Стефан Иванов Стефанов, Гергана Петрова Колева, , , Махмуд Мехмед Махмуд, , , , 
Мая Николаева Николова, , , , , , , Милен Желязков Митев, , , Красимир Жечев Василев, , Данчо Георгиев Караджов, , Ивайло Валентинов Иванов, , , , , , Айсун Ахмедова Ибрямова, , Момчил Красимиров Кънев, Дамян Колев Димитров, , , Светлозар Димитров Георгиев, , , , 
, , , , , , , Петър Иванов Петров, , , Недко Милков Недев, , Пламена Ангелова Спасова, , Ели Емилова Алексиева, , , , , , Калина Петрова Петрова, , Тамара Федоровна Стилиянова, Евелина Василева Стефанова, , , Джансел Шянгюн Мехмед, , , , 
, , , , , , , Десислава Ивова Трифонова, , , Рени Иванова Байкова Узунова, , Кремена Живкова Божанова, , Анета Ангелова Йорданова, , , , , , Стоян Тотев Тодоров, , Данаил Тодоров Костадинов, Пламен Денчев Петров, , , Ресмие Исмаил Мустафова, , , , 
, , , , , , , , , , Людмила Радославова Борисова, , Пламена Пламенова Свеженова, , Тодор Милков Василев, , , , , , Станчо Викторов Баев, , Даниела Илиева Пенчева, Генади Колев Георгиев, , , Зелиха Тургай Марем, , , , 
