ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Андрей Иванов Чорбанов, Свилен Величков Христов, Мирослав Илиев Евтимов, Петър Дивинишев Пацев, Веселин Иванов Янакиев, Йордан Антонов Яков, Пейчо Димитров Касъров, Симеон Цветанов Миланов, Чавдар Маркос Христанов, Стефан Петров Какъмъков, Станислав Добринов Стоянов, Теодора Кирилова Личева, Людмила Николаева Илиева, Бахредин Салиев Салиев, Обрешко Нешев Нечев, Мария Венциславова Карагьозова, Мирослав Веселинов Иполитов, Татяна Дончева Тотева, Йордан Богданов Богданов, Светлозар Даринов Киров, Костадин Георгиев Ангелов, Димитър Маринов Димитров, Атанас Зафиров Зафиров, Павлин Стефанов Петров, Милен Василев Михов, Димитър Николаев Дончев, Йордан Кирилов Цонев, Пенчо Георгиев Пандъков, Калоян Иванов Цанков, Арлин Григоров Антонов, Владимир Цеков Христов
Момчил Кунчев Иванов, Иван Стоянов Куцаров, Иван Пламенов Петков, Иван Гинов Статиров, Владимир Николаев Генов, Иван Костадинов Бочков, Милен Добрев Минчев, Йовко Добрев Йовков, Николай Живков Жеков, Меджит Бейсимов Курдов, Ангел Василев Янчев, Ивайло Кръстев Денков, Йордан Ивов Терзийски, Красимир Радев Александров, Венцислав Дианов Стоянов, Мадлен Петрова Маринова, Любомир Николов Христов, Севдалина Илиева Димитрова-Енева, Христо Николов Христов, Йордан Кирилов Крумов, Росица Тодорова Димитрова, Тодор Веселинов Томев, Валентина Иванова Димова, Коста Петров Костов, Мирослав Николов Гълъбов, Анатоли Любенов Лалов, Мастън Османов Мастънов, Илза Начкова Христова, , Хриска Георгиева Маркова, Петър Любомиров Савов
Христо Михайлов Дочев, Мартин Ганчев Минков, Инна Маринова Маринова, Виолета Иванова Кудева, Денислав Андриянов Дойнов, , Христофор Иванов Иванов, Даниела Петрова Давидкова, Нейко Петров Петров, Димитър Петков Йорданов, Венцислава Маринова Йорданова, Станимир Ангелов Личев, Милен Илиев Матеев, Емил Сашев Стефанов, Ирина Стоянова Николова, Цонка Калоянова Цонева-Димитрова, Магдалена Десиславова Цветкова, Атанас Димитров Шмидт, Николай Тодоров Божков, , Димитър Стойков Николов, Мартин Петров Николов, Христо Галинов Кавалски, Андраник Георгиев Христов, Евгени Пенчев Пенчев, Иван Йорданов Димитров, Сунай Хасанов Мунков, Венцислав Славейков Златев, , Калин Валентинов Върбанов, Пламен Йорданов Пеев
Силвия Маринова Трифонова, , Светлана Йорданова Георгиева, Ивайло Стефанов Стефанов, Владимир Георгиев Пенев, , Наташа Николова Георгиева, Тодор Владимиров Несторов, Хашим Мустафов Реджебов, Мариана Веселинова Петкова, Александра Тодорова Тодорова, Красимира Христова Петкова, Лили Пламенова Матева-Цанкова, Мариела Руменова Николова, Нивелин Ясенов Николов, Стоян Филипов Стоянов, Ина Пенчева Велчева, Никола Емилянов Николов, Маргарита Пенкова Димитрова, , Ивелина Хараламбиева Гецова, Найден Тодоров Тодоров, Цвета Тодорова Галунова, Мирослав Митков Челестинов, Христо Венелинов Беремски, , Фатме Билялова Етемова, Борислав Христов Борисов, , Цветомир Христов Хаджииванов, Йото Борисов Йотов
Ивайло Николаев Бобев, , Милена Иванова Раева, Димитрина Крумова Иванова, Любен Иванов Йосифов, , Красимир Любенов Хаджидосев, Светлозара Христова Фъртунова-Минчева, Христо Събинов Нанчев, Петко Йорданов Петков, Иван Петров Вигенин, Елица Григорова Григорова, Дончо Иванов Бораджиев, Величка Димитрова Николаева, Александра Димитрова Дрънкарева, Валентин Маринов Мирчев, Силвия Александрова Цветкова, Виолета Иванова Блажева, , , Валентин Иванов Милинов, Станислав Любомиров Чотуков, Михаил Тодоров Михалев, Силвия Василева Маринова, Юлия Илиева Тонкова, , Мъстън Феимов Еминов, Силвия Йорданова Маркова, , Трифон Йорданов Трифонов, Любомир Петров Любомиров
Емилия Божинова Цветанова, , Даниел Колев Диманов, , , , Илиян Илиянов Илиев, Петя Бориславова Петкова, , , Христо Добринов Гугучков, , Соня Георгиева Будева, , Иван Петков Милков, Камен Василев Христов, , Станимира Дианова Златева, , , Венцислав Милков Георгиев, Георги Борисов Драганов, Емилия Георгиева Иванова, Деян Борисов Борисов, Пламен Стефанов Борисов, , Синан Шукриев Пехливанов, Никола Янков Николов, , , Христо Йотов Йотов
Веселин Иванов Витанов, , Магдалена Стоянова Нейкова, , , , Ана Владимирова Владимирова, Веселин Иванов Дяков, , , Георги Стефанов Харизанов, , Емил Бориславов Николов, , , Радослав Лазаров Костадинов, , Марин Русев Богомилов, , , Илиян Венков Георгиев, Георги Сотиров Георгиев, Мартин Петров Янев, Калоян Стоянов Костадинов, Евгени Петков Коев, , Гергана Ивова Добрева, Маргарита Иванова Симеонова, , , Милка Кирилова Петрова
Александър Крумов Крумов, , Стефан Русев Купичков, , , , Кольо Ивалинов Стратиев, , , , Светослав Симеонов Тодоров, , Радослав Чавдаров Иванов, , , Никола Йорданов Николов, , Христина Светлозарова Александрова, , , Емил Денчев Енчев, Жана Владимирова Славова, София Борисова Вергилова-Георгиева, Борислав Тодоров Раянов, Йордан Стоянов Минчев, , Самир Филипов Димитров, Антон Стойнов Дончев, , , 
Борис Кирилов Китанов, , Атанас Богданов Арабаджиев, , , , Николай Йорданов Николов, , , , Огнян Петров Георгиев, , Владислав Димитров Иванов, , , Борис Кирилов Рачев, , Георги Ангелов Стамболиев, , , Нойко Василев Нойков, , Мария Петкова Мачковска-Русинова, , Галина Радкова Иванова, , Ивелин Якимов Розинов, Владислав Стефчов Ванков, , , 
Димитър Маринов Байчев, , Иван Атанасов Панайотов, , , , Мишо Цветанов Мишев, , , , Стефан Петров Величков, , Стефан Николаев Войчев, , , , , Йордан Ангелов Кабаиванов, , , Стефан Иванов Минчев, , Петко Иванов Прокопов, , Николай Славев Николов, , Емял Айдънова Исмаилова, Надя Илкова Лорето, , , 
Стефан Стефанов Карабоев, , Камелия Георгиева Джанабетска, , , , Радослав Тодоров Радински, , , , Пенчо Йорданов Пенчев, , Кина Николова Йорданова, , , , , Диляна Николаева Колева, , , Стефан Иванов Бранзелов, , Иван Даниелов Иванов, , Николай Станчев Цонев, , Митко Станчев Станев, Михаела Гошева Игнатова, , , 
