ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Иван Руменов Клисурски, Борислав Николаев Маринов, Петко Иванов Петков, Искрен Валериев Дилов, Евгени Ангелов Ефремов, Цено Спасов Велчев, Веселин Асенов Цветков, Владимир Борисов Владимиров, Анели Димитров Христов, Калин Гошев Кръстев, Ивайло Василев Папов, Красимир Цветков Манов, Деница Димитрова Симеонова, Магдалена Ненова Дюлгерова, Камелия Илиева Каменова, Георги Младенов Младенов, Цветелин Йорданов Цветанов, Йордан Иванов Малджански, Ивелина Васкова Йотова, Снежана Веселинова Найденова, Красен Георгиев Кръстев, Мартин Иво Илиев, Генади Събков Събков, Румен Стоянов Тихолов, Красимир Илиев Богданов, Любка Иванова Тодорова, Валентин Йовков Тончев, Оля Петрова Генова, Пламен Николов Бенински, Тони Димитров Баждаров, Ивайло Любенов Иванов
Цоло Йотов Цолов, Цветан Ангелов Янкуловски, Евгени Бориславов Генов, Димитър Георгиев Господинов, Венелин Людмилов Янков, Димитър Георгиев Петров, Гриша Николов Босашки, Йордан Тодоров Гергов, Мария Красимирова Неделкова, Ивайло Милчев Кюпарски, Виолин Панайотов Бинчев, Мирела Христова Темелкова, Галя Йотова Илиева, Станислав Емилов Сашев, Георги Митов Василев, Данаил Алипиев Николов, Петър Иванов Димитров, Стефка Томова Томова, Върбан Маринов Вутов, Петър Андрейчев Петров, Мартин Николаев Харизанов, Данаил Николаев Иванов, Георги Пенчев Берчев, Милен Методиев Сибинов, Момчил Пламенов Янков, , Каролина Симеонова Кьолер, Милен Благоев Стоянов, Стивън Цветанов Лалчев, Бистра Василева Василева, Христо Венецков Божков
Климент Кирилов Иларионов, Райна Сашова Ангелова, Ивайло Вагенщайн Русинов, Митко Стоянов Стоянов, Веселин Цветелинов Георгиев, Марияна Веселинова Тодорова, Бано Георгиев Върбанов, Мариела Стоянова Маринова, Цветослав Иванов Стоянов, , Лилиан Петков Петков, Адриана Петрова Костова, Тодор Еленков Тодоров, Божидар Атанасов Христов, Цветан Ангелов Димитров, Евгения Петкова Лиловска, , Генчо Колчов Линков, , , Мирослав Иванов Аспарухов, Тихомир Тихомиров Тодоров, Митка Георгиева Лечева, Милчо Аспарухов Вълков, Красимир Симеонов Ангелов, , Христо Найденов Найденов, Филип Мартинов Павлов, Георги Петков Георгиев, Борис Калинов Савов, Георги Тодоров Петров
Пламен Владимиров Панчев, , Мирослав Илиев Евтимов, , Лилия Даниелова Георгиева, Ивайло Александров Димитров, Валери Димитров Викентиев, Милчо Атанасов Стефанов, Кристина Никодимова Мурджова, , Димитър Витанов Георгиев, Иво Димитров Андреев, Деян Иванов Войкин, , Михаил Христов Иванов, Камен Младенов Младенов, , , , , Стефан Маринов Плешоев, Петър Емилов Петров, Ивайло Митков Иванов, Веселин Иванов Борисов, Гергана Велизарова Янчева-Ценкова, , Марин Иванов Цветков, Тодора Стоянова Янева, Цветомир Мирославов Йорданов, , Валери Николов Маршалов
Илиян Мариов Иванов, , Соня Миткова Симеонова, , Владислав Евгениев Климов, Красимир Тошев Илиев, Ели Христова Илиева, Георги Стефанов Павлов, , , Тихомир Росенов Тодоров, Венцислав Валентинов Цоновски, Владислава Тошева Лакова, , , Илиян Методиев Илиев, , , , , Емил Димитров Миленков, Адриан Богданов Суев, Пепи Георгиев Туртански, Христо Милков Иванов, Цветан Георгиев Симеонов, , Стефан Пламенов Вълков, , , , Альоша Ангелов Андреев
Деница Георгиева Каменова, , Георги Цветанов Василев, , Снежа Петрова Александрова, , Николай Жоров Ангелов, Апостол Стоянов Пилчев, , , Цветелина Борисова Стефанова, Петър Руменов Кожухаров, Ивайло Любенов Минков, , , Веселин Тодоров Тодоров, , , , , Дамян Митов Петров, Данаил Тодоров Данев, Йоана Павлинова Петрова, Иван Веселинов Петков, Пламен Илиев Кюковски, , Мехти Сашев Димитров, , , , Стоян Валентинов Цековски
, , Диана Емилова Димитрова, , Милен Петров Диков, , , Веселин Николаев Костов, , , Евгени Найденов Спасов, , Стефан Красимиров Стефанов, , , Петър Спасов Спасов, , , , , Илиян Йорданов Еленков, , Михаела Василева Тошкова, , Бетина Ивайлова Иванова, , Христо Иванов Иванов, , , , 
, , Петър Младенов Петров, , Марина Данаилова Тошова, , , Цветомир Велев Цветанов, , , , , Малинка Милянова Кръстева, , , , , , , , Мариана Митева Петкова, , Наташка Петкова Маринова, , Ивайло Руменов Иванов, , Светлин Николаев Герасимов, , , , 
, , , , Красимир Александров Младенов, , , Огнян Вачов Вачов, , , , , Кирил Светозаров Кунгалов, , , , , , , , Пламена Иванова Цветанова, , Богомил Василев Павлов, , Румяна Цветанова Витньова, , Стефан Димитров Ангелов, , , , 
, , , , Веселин Евгениев Веселинов, , , Красимир Петров Николов, , , , , Радослава Начкова Спасова, , , , , , , , Яна Тошева Бецинска-Георгиева, , Цветан Петров Коцев, , Цветомир Симеонов Марков, , Вероника Людмилова Петкова, , , , 
, , , , , , , , , , , , Диан Иванов Дамянов, , , , , , , , Цветомила Стефанова Тодорчева-Христова, , Юлия Николова Малкетова, , Ивайло Цеков Ненков, , Бранимир Асенов Бочев, , , , 
