ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Ивайло Ванев Вълчев, Тодор Станимиров Сотиров, Милен Димитров Георгиев, Нако Райнов Стефанов, Георги Захаринин Попов, Димитър Александров Митев, Пламен Атанасов Русев, Иван Кирилов Кирилов, Николай Петев Кючуков, Миню Стайков Стайков, Цончо Томов Ганев, Венцислав Иванов Петков, Николай Денков Денков, Поля Славчева Славова-Атанасова, Стоян Демирев Грозев, Емил Стоянов Великов, Димитър Михайлов Ташев, Румен Йорданов Петков, Евгения Пламенова Гергова, Станислав Димитров Готев, Жечо Дончев Станков, Даниел Койчев Стамов, Петър Георгиев Кънев, Радостин Колев Колев, Александър Маиров Сиди, Красимир Манолов Стоянов, Севим Исмаил Али, Даниела Стоянова Божинова, Йорданка Лазаринова Симеонова, Александър Киров Бояджийски, Николай Симеонов Малинов
Силви Кирилов Петров, Мариус Валериев Стоянов, Христиан Радев Митев, Димитър Дончев Иванов, Михаил Янков Мутафчиев, Гарабед Ардашес Минасян, Радина Димова Маринчева, Невен Василев Каравасилев, Румен Веселинов Петков, Филип Людмилов Каменов, Борис Димитров Аладжов, Костадин Стоянов Маджаров, Димитър Георгиев Найденов, Стефан Борисов Белев, Явор Мишев Жеков, Ани Димитрова Иванова, Красимир Красимиров Гюлев, Севда Георгиева Гайдарова-Димитрова, Борислав Стефанов Ойков, Георги Янакиев Янчев, Любен Любенов Дилов, Мартин Найденов Николов, Тодор Байчев Байчев, Валентин Янев Тодоров, Георги Петров Дракалиев, , Ешереф Кязим Ешереф, Владимир Петров Димитров, Силвия Георгиева Табакова, Петко Димов Палов, Женя Димитрова Илиева
Тодор Георгиев Иванов, , Златина Атанасова Величкова, Иван Цветанов Павлов, Далия Юлиева Антова, Сами Сабри Ферад, Кристиан Косев Кръстев, Кремена Петрова Петрова, Николай Живков Жеков, , Звезделина Камелиева Каравелова, Таня Петрова Бекярова-Стоянова, Александра Красимирова Стеркова, Златка Иванова Георгиева, Мариела Николаева Кирова, Екатерина Цветанова Вилк, Александър Миленов Спасов, Маргарита Стаматова Стаматова, Петър Сашов Лазаров, Златин Славчев Иванов, Галя Стоянова Василева, Гергана Димитрова Попова, Паруш Желев Парушев, Иван Николаев Тангарджиев, Тодор Стаматов Стаматов, , Фатме Хасан Рамадан, Кремена Златева Ватева, Константин Иванов Тончев, Николай Гичев Кузманов, Станчо Вълканов Павлов
Боян Митков Хлебаров, , Боряна Георгиева Тодорова, Любена Миткова Начева-Григорова, Светослав Ангелов Ангелов, Кирил Стоянов Стоянов, Мирослав Динков Стойков, Милка Иванова Бодурова, Диана Петкова Петкова, , Александър Господинов Койчев, Димитър Диянов Петров, Емил Иванов Соколов, , Асен Любомиров Бонджев, Стойка Илиева Тодорова, Стоян Митков Радев, Камен Димитров Сейменлийски, , Стоян Димитров Николов, Андрей Стоянов Рунчев, Росен Любомиров Боев, Тодор Дамянов Дамянов, Ангел Николаев Стойчев, Стоян Транев Транев, , Ружди Хикмет Хаджен, Гочо Кръстев Гочев, Ваньо Щерионов Калпакчиев, Христо Вълканов Ангелов, Кирил Тодоров Куртев
Валери Красимиров Крумов, , Лидия Иванова Дренчева, Георги Любомиров Желязков, Гергана Иванова Георгиева, Диан Ненов Гешев, Павлина Иванова Вълканова-Пунчева, Кета Димитрова Лефтерова, Иван Стойчев Антонов, , Димитър Петков Петков, Васил Христов Иванов, Георги Генчев Перпелиев, , Радослав Петров Петков, Иван Георгиев Милев, , Гергана Неделчева Георгиева, , Ваня Стойкова Иванова, Мартин Неделчев Богданов, Тодор Веселинов Томев, Милена Янева Куртова-Радева, Иван Георгиев Стоянов, Магдалена Лазарова Атанасова-Чакърова, , Бейхан Али Мустафа, Стефан Христов Пенов, Димитър Хубенов Вълков, , Димитрина Росенова Петрова
Стойко Георгиев Андреев, , Тодор Славков Брадов, Иван Гинов Статиров, Росен Димитров Рачев, Борислав Панайотов Неделков, Гергана Славова Гочева, Габриела Здравкова Богданова, Десислава Стоянова Тенева, , Снежана Йовчева Йорданова, Пламен Тодоров Иванов, Михаил Николаев Михов, , Гошо Иванов Атанасов, Велимир Ганев Велянов, , Георги Сталев Георгиев, , Красимира Иванова Василева, Емил Христов Кючуков, Христо Огнянов Христов, Таня Вълчева Иванова, , Михаил Иванов Домусчиев, , Сезгин Хасан Кадил, Бистра Веселинова Матракчиева, Златина Георгиева Лиркова, , Веселина Тодорова Димитрова
Драгомир Костадинов Костадинов, , Антон Жеков Стоянов, Виктор Александров Кръстев, , Магда Николаева Сталева, Йордан Стоянов Стойков, Иван Пенев Тодоракев, Данаил Ненов Маринов, , Виктория Валентинова Върбанова, Румяна Руменова Стоянова, Тодор Веселинов Терзиев, , Ангелина Кирова Мерджанова, Добрин Йорданов Йорданов, , Силвия Александрова Лецковска, , Георги Николов Куртев, Дечо Димитров Коешинов, Боян Стефанов Жинов, Йона Николова Чобанова, , Веселин Ангелов Лафчиев, , Александър Георгиев Делчев, Добрин Иванов Пенчев, Мариана Пенчева Калоянова, , Велико Киряков Великов
Христина Стефанова Педикова-Генева, , Пенчо Димитров Христов, , , Лидия Тодорова Ташева, Алберт Петросович Симонян, Мария Иванова Тончева, Мартина Георгиева Гюлемерова, , Надежда Росенова Чолакова, Атанас Цветанов Атанасов, Дилян Димитров Георгиев, , Тони Лазарова Бояджиева, Памела Тодорова Георгиева, , Юлияна Недялкова Мръчкова, , Димитър Николов Дойнов, Вежди Кемал Орманов, Димитър Николов Петков, Георги Георгиев Георгиев, , Борис Ясенов Гроздев, , Елван Селяхтин Атилла, Борислав Христов Борисов, , , Георги Стоянов Димитров
Живко Тошков Димов, , Марияна Николаева Лефтерова, , , Николай Антонов Радев, Красимир Иванов Чуков, Наталия Стоянова Ангелова, Данка Георгиева Рангелова, , Александър Руменов Александров, Мирослав Тодоров Сираков, Николай Симеонов Найденов, , Гено Райчев Иванов, Тотко Станимиров Ангелов, , Ирена Георгиева Михайлова, , Сава Ростиславов Алфьоров, Цветелина Огнянова Иванова, Янко Петков Василев, Валентин Янчев Славов, , Емилия Аврамова Колева, , Хюсеин Адем Халил, Марина Тодорова Вълчева, , , Трани Стоянов Транев
Найден Щерионов Пулакев, , Павел Асенов Павлов, , , Веселин Руменов Величков, Райно Стоянов Иванов, Александра Христова Мукарева, Георги Георгиев Калоянов, , Галин Иванов Стойчев, Радослав Юлиянов Херонов, Атанас Тодоров Пъчков, , Николай Костов Стоянов, Атанас Димитров Георгиев, , Николай Тодоров Тодоров, , Златин Жеков Войнов, Ваня Енчева Христова, Ангел Атанасов Спасов, Силвия Владимирова Митова, , Любомир Златинов Богойчев, , Мехмед Неджатин Хюсеин, Кристина Боянова Димитрова, , , Димитър Марков Марчев
Живко Илиев Канев, , Димитър Стефанов Казаков, , , Венцислав Иванов Нинов, Тодор Стоянов Стоянов, Мария Христова Димитрова, Росица Желязкова Мутафчиева, , Тодор Йорданов Ковачев, , Калина Бориславова Константинова, , Кремена Милчева Кънчева, Памела Деси Вилк, , Антон Боянов Коджабашев, , Станислава Иванова Николова, Илиан Христов Щерев, Кристиян Иванов Димитров, Живко Тодоров Жеков, , Виктор Димов Шавов, , Мехмед Мустафа Хюсеин, Константин Стоянов Иванов, , , Василка Димитрова Петрова
